skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Scroll of Identify	277		scroll of identify		113																																																																																																									0		none												SC	SC	xx																									((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1									1							5									1								1									0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
Book of Identify	278		book of identify		113																																																																																																									0		none												SC	SC	xx																									((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1									1							5									1								1									0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
Scroll of Townportal	279		scroll of townportal		113																																																																																																									0		none												SC	SC	xx																	36	10							((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1									1							5																	1									0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
Book of Townportal	280		book of townportal		113																																																																																																									0		none												SC	SC	xx																									((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1									1							5																	1									0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
Wake Of Destruction Sentry	281		wake of fire sentry		125												wake of destruction maker																																																																											70					wake of destruction maker												1	0		none												SQ	SQ	S2				1													1								((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																																								par8	shots fired	6	Number of missiles	2	Number of missiles per level			2	Min Range							3	Shots Fired	1								8																																					0
Imp Inferno	282			59	126												infernolit1																																																																											71					infernolit1	infernolit2			8	z offset	lvl-1	range					1	0		none												SQ	SQ	SC	6			1																					((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1										rand(par3,par4)	len	lvl-1	range					30	base ranged (doubled)	3	level range (doubled)	100	min frames	120	max frames									1								0															ltng	3						3						skill('Attack'.clc4)*((lvl>=40)?skill('Attack'.par7):((lvl>=20)?skill('Attack'.par6):skill('Attack'.par5)))*256/3									0
Imp Fireball	283													impfireball		1																																																													sorceress_cast_fire											fire_cast_2				72					impfireball				40	z offset							1	0		none												SQ	SQ	S2				1													1								((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																																		1								0															fire	256						320						300*(skill('Attack'.clc4)*((lvl>=40)?skill('Attack'.par7):((lvl>=20)?skill('Attack'.par6):skill('Attack'.par5)))/100)									0
Baal Taunt	284				28												baal taunt control																																																																						monster_baal_taunt_1				46						baal taunt control												1	0		none												SQ	SQ	A1				1																					((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1										3	par2?	45	par1?			skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100	Damage	75	Delay in poison clouds	4	Delay in lightning 													1								8																																					0
Baal Corpse Explode	285				141																				ln34																																																																		82																		1	0		none												SQ	SQ	S3				1																					((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																		1	% of base monster HP min damage	2	% of base monster HP max damage	6	radius (half squares) for damage	1	additional radius/level (half squares) for damage	60	Radius of search for corpses							1								8																																					0
Baal Monster Spawn	286													baal spawn monsters		1																																																													baal_summon																			baal spawn monsters													1	0		none												SQ	SQ	S3				1																					((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																																		1								8																																					0
Catapult Charged Ball	287				28												catapultchargedball																																																																										47						catapultchargedball				16	fall rate							1	0		none												SQ	SQ	A1				1													1	1							((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100 /2	Damage per bolt	4	Charged bolts per level															1								0															ltng	256						320						clc4*100									0
Catapult Spike Ball	288				28												catapult spike ball																																																																										47						catapult spike ball				16	fall rate							1	0		none												SQ	SQ	A1				1													1	1							((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1														skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100 /2	Damage per shard	ln12		15	Spikes to launch	1	Spikes per level													1								0		256						320						(100+stat('passive_phys_mastery'.accr)) * (100+clc4*40)/100-100																							0
Suck Blood	289			60	127																																																																																																								1	0		none												SQ	SQ	A1				1																					((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1										par1	heal%							33	Percent life to boss															1								8		1						3																													0
Cry Help	290				128															curseattract																																																																																									1	0		none												SQ	SQ	S1				1													1								((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																																		ln12	duration							125	Time for minions to attack target	5	Time per level													1								8																																					0
Healing Vortex	291													healing vortex																																																																																		healing vortex													1	0		none												SQ	SQ	S2				1																					((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																																		1								8		200	200	400	600	800	1000	400	200	400	600	800	1000																								0
Teleport 2	292				98																																																																																						48	73																	1	0		none												SQ	SQ	S1				1																					((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																																		1								8																																					0
Self-resurrect	293			61																																																																																							38																		1	0		none												SQ	SQ	S1				1																					((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																																		1								8																																					0
Vine Attack	294				130												plague vines						slowed			velocitypercent	-100																																																						druidpod_attack_1	druidpod_walk1_1	druidpod_neutral_1								49						vine beast attack	vines	vine beast walk 1	vine beast neutral	min(12,ln12)	#vines	35	delay	6	min dist between missiles			1	0		none												SQ	SQ	S1				1													36	10							((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1										min(24,ln12)	# missiles					20	frames to apply aura to target	3	Number of vines	1	vines per level													1								8																																					0
Overseer Whip	295				131																		bloodlust	par2		velocitypercent	par3	attackrate	par4	skill_armor_percent	par5	damagepercent	par6																											suicideminion1			S1											33																																			1	0		none												SQ	SQ	A2				1																					((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1										par1	chance							100	Chance Bloodlust	300	Bloodlust duration	150	Velocity change	150	Speed change	150	Armor change	150	Damage change					1								8																																					0
Barbs Aura	296				65																65795	barbscontrol	barbs		sklvl('Spirit of Barbs'.lvl.rng)	hpregen	skill('Cyclone Armor'.blvl)*60	magicresist	5 + skill('Cyclone Armor'.blvl) + (lvl/3)	maxhp	skill('Oak Sage'.blvl)*20*256	item_absorbfire_percent	skill('Cyclone Armor'.blvl)/5	item_absorblight_percent	skill('Cyclone Armor'.blvl)/5	item_absorbcold_percent	skill('Cyclone Armor'.blvl)/5																																																																								1	0		none												SQ	SQ	A1				1																					((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1		1		50						2 + (lvl/2)	mag res					10 + (lvl/2)	dr mdr		see Spirit of Barbs		see skill 246 (SoBarbs)	5				4		12		3	dr mdr	1	dr mdr	1								8																																					0
Wolverine Aura	297				65																65795	wolverinecontrol	wolverine		sklvl('Heart of Wolverine'.lvl.rng)	item_tohit_percent	sklvl('Heart of Wolverine'.lvl.ln34)	damagepercent	sklvl('Heart of Wolverine'.lvl.ln34)	item_healonstrike	sklvl('Heart of Wolverine'.lvl.par5) + lvl / sklvl('Heart of Wolverine'.lvl.par6)	maxhp	skill('Oak Sage'.blvl)*20*256	hpregen	skill('Spirit of Barbs'.blvl)*30																																																																										1	0		none												SQ	SQ	A1				1																					((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1		1																	see Heart of Wolverine		see skill 236 (HoWolverine)					15		1						1								8																																					0
Oak Sage Aura	298				65																65795	oaksagecontrol	oaksage		sklvl('Oak Sage'.lvl.rng)	maxhp	(sklvl('Oak Sage'.lvl.ln34)+(skill('Cyclone Armor'.blvl)*20))*256	skill_armor_percent	sklvl('Oak Sage'.lvl.ln56)	item_healonstrike	skill('Heart of Wolverine'.blvl)	hpregen	skill('Spirit of Barbs'.blvl)*30																																																																												1	0		none												SQ	SQ	A1				1																					((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1		1																	see Oak Sage		see skill 226 (Oak)					30		30						1								8																																					0
Imp Fire Missile	299				132												impmiss21																																																												sorceress_cast_fire											fist_will_cast								impmiss21													1	0		none												A1	A1	A1																	1								((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1										lvl-1	range adder					skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100	Damage		?		?		?		?		?		?					1								8																																					0
Impregnate	300				133																																																							painworm1			NU																																														1	0		none												S1	S1	S1				1																					((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																			?		?		?		?		?		?					1								8																																					0
Siege Beast Stomp	301				134												nova	nova	nova						par5																																																															siege_beast_dust				75																	1	0		none												A2	A2	A2				1													36	10							((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100 /2	Damage	0	screen shake magnitude	0	screen shake bulid	0	screen shake duration	0	screen shake fade	18	radius of effect		?					1	100	25		1				0		256						475						(100+stat('passive_phys_mastery'.accr)) * (100+clc4*70)/100-100																							0
MinionSpawner	302			62	135																																																																						spawnedminion																																		1	0		none												A1	A1	A1																									((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																		5	?		?		?		?		?		?					1								8																																					0
CatapultBlizzard	303				28												catapult cold ball								par1																																																																		47						catapult cold ball				16	fall rate							1	0		none												A1	A1	A1																	1	1							((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100	Damage		?		?		?		?		?		?					1								0															cold	256						313						clc4*200	50								0
CatapultPlague	304				28												catapult plague ball																																																																										47						catapult plague ball				16	fall rate							1	0		none												A1	A1	A1																	1	1							((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																skill('Attack'.clc4)*256/25*((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100 /2	Damage (per frame)		?		?		?		?		?		?					1								0															pois	1						1						clc4*100	100								0
CatapultMeteor	305				28												catapult meteor ball								par1																																																																		47						catapult meteor ball				16	fall rate							1	0		none												A1	A1	A1																	1	1							((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100 /2	Damage	9	radius of explosion		?	50	duration base	2	duration/level		?		?					1								0															fire	256						320						clc4*250									0
BoltSentry	306				22												nova3	nova3	nova3																																																																									25					nova3												1	0		none												SC	SC	xx																									((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																6	shots fired															3	Shots Fired	1								8																																					0
CorpseCycler	307			63													recycler delay								10																																																																		49		93				vine beast attack	recycler delay											1	0		none												SQ	SQ	S1				1							1														((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1										lvl	life steal (see Carrion Vine)							1	%HP reclaimed from corpse (not used)	4	Levels per +1%HP (not used)													1								8																																					0
DeathMaul	308				136												death mauler																																																																											76					death mauler	death mauler trail											1	0		none												A1	A1	xx																	1								((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1										96	missile animrate					skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100 /2	Dmg/10Frames		?		?		?		?		?		?					1								0	1	256						475						(100+stat('passive_phys_mastery'.accr)) * (100+clc4*70)/100-100																							0
Defense Curse	309				30																3		defense_curse	ln34	ln12	skill_armor_percent	0	item_fastercastrate	par7	velocitypercent	par7	attackrate	par7	normal_damage_reduction	clc4	magic_damage_reduction	clc4																																																						18	30					curseeffectred		cursecast										1	0		none												SC	SC	S2																									((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																skill('Attack'.clc4) / -5	PhysDmgReduce / MagDR Penalty	3	radius	1	radius per level	150	duration	10	additional duration/level	50	% defense	5	% defense/lvl	-20	% reduced speed			1																																													0
Blood Mana	310				30																3		blood_mana	ln34	ln12	hpregen	0	manarecoverybonus	0																																																														18	30					curseeffectred		cursecast										1	0		none												SC	SC	S2																	1								((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100	Damage?	3	radius	1	radius per level	75	duration	5	additional duration/level	30	Reduced HP and Mana regen	5	-HP/MP regen Per Level					1								0		256						475						(100+stat('passive_phys_mastery'.accr)) * (100+clc4*70)/100-100																							0
mon inferno sentry	311			53	95												inferno sentry 1																																																																										52	77					inferno sentry 1	inferno sentry 2				z offset							1	0		none												SQ	SQ	xx																									((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1										ln34/2	range	par1	length of fire	3	density	par8	shots fired	45	frames of Inferno duration			100	range times two (so 80 is about 400 pixels)									3	Shots fired	1								8																																					0
mon death sentry	312				55																				ln34																																																														necromancer_corpseexp_1	death_sentry			50	78					corpseexplosion	deathsentryexplode											1	0		none												SQ	SQ	xx											1														((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1										par1	damage min%	par2	damage max%	100	% converted to eType damage	par8	shots fired	35	%BASE MonHP minDmg (D2Mod.ini +150%HP)	45	%BaseHP max (20-28%HP @ +150%)	2	radius (half squares)	1	additional radius/level (half squares)							3	Shots Fired	1								8															mag																						0
sentry lightning	313													sentrylightningbolt																																																																																		sentrylightningbolt													1	0		none												SQ	SQ	xx																	1								((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																par8	shots fired	10	minimum damage	20	max damage	4	increase in dam/level (min & max)									3	Shots Fired	1								8																																					0
fenris rage	314				137																	fenris_rage		par1		damagepercent	par2																																																						necromancer_corpseexp_1										51	79					corpseexplosion												1	0		none												A1	A1	A1											1						1								((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																		250	rage duration	25	% damage with rage													1								8																																					0
Baal Tentacle	315				140																																																																																																								1	0		none												S2	S2	S2				1													1								((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																			?		?		?		?									1																																													0
Baal Nova	316		baal nova		22												baal nova																																																												baal_novacast											fire_cast_2				25					baal nova												1	0		none												S3	S3	S3																	36	10							((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100	Damage																	1								0															mag	256						256						clc4*900									0
Baal Inferno	317			53	95												baal inferno																																																												baal_missilecast															54					baal inferno												1	0		none												SQ	SQ	xx																									((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1												par1+lvl*3/4	length of fire	2	density		Dmg/frame in EDmgSymPerCalc	20	frame length						?									1								0															fire	3						3						skill('Attack'.clc4)*((lvl>=40)?skill('Attack'.par7):((lvl>=20)?skill('Attack'.par6):skill('Attack'.par5)))*256/2									0
Baal Cold Missiles	318		baal cold		139												baal cold maker																																																												baal_coldtrailcast															81					baal cold maker												1	0		none												A1	A1	A1				1													1								((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100 /2	Damage per 5 frame																	1								0															cold	256						313						clc4*250	50								0
MegademonInferno	319			53	95												megademoninferno																																																																											54					megademoninferno	megademoninferno											1	0		none												SQ	SQ	S1																									((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1												par1+lvl/4	length of fire	2	density		Dmg/frame in EDmgSymPerCalc	20	frame length															1								0															fire	2						2						skill('Attack'.clc4)*((lvl>=40)?skill('Attack'.par7):((lvl>=20)?skill('Attack'.par6):skill('Attack'.par5)))*256/3									0
EvilHutSpawner	320			49	91															spawnedflames																																																																							36	50																	1	0		none												SQ	SQ	xx																									((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																																		1								8																																					0
CountessFirewall	321				24												countessfirewallmaker	countessfirewall																																																											sorceress_cast_fire															26					countessfirewallmaker												1	0		none												SQ	SQ	A1																	1								((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																skill('Attack'.clc4)*256/25*((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100 /2	Damage per frame																	1																																													0
ImpBolt	322				17												imp charged bolt																																																																											23					imp charged bolt												1	0		none												SQ	SQ	A1																	1								((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1										lvl+2	#bolts					skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100	Damage																	1								0															ltng	256						320						clc4*250									0
Horror Arctic Blast	323			53	95												frozenhorror arcticblast1																																																																											54					frozenhorror arcticblast1	frozenhorror arcticblast1											1	0		none												SQ	SQ	xx	18																								((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1												par1+lvl/4	length of fire	2	density		Dmg/frame in EDmgSymPerCalc	20	frame length															1								0															cold	2						2						skill('Attack'.clc4)*((lvl>=40)?skill('Attack'.par7):((lvl>=20)?skill('Attack'.par6):skill('Attack'.par5)))*256/3	50								0
death sentry ltng	324													sentrylightningbolt2																																																																																		sentrylightningbolt2													1	0		none												SQ	SQ	xx																	1								((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																																3	Shots Fired	1								8																																					0
VineCycler	325			63													vine recycler delay								10																																																																		49		93				vine beast attack	recycler delay											1	0		none												SQ	SQ	S1				1							1														((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1										lvl	mana from corpse							2	%mana reclaimed per corpse	3	Levels per +1% mana													1								8																																					0
BearSmite	326			32	2																																																																								druidbear_attack_1																																1	9		h2h												S1	S1	xx				1		1	1																		((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																																		ln34	damage %	min(250,ln12)	stunlen					25	Stun Length	5	additional frames/level	20	Percent bonus damage	0	percent damage per level									1				8				8	128																																				0
Resurrect2	327				97																																																																																			healing			39																		1	0		none												SQ	SQ	xx							1	1	1		1					1									((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																																		1																																													0
BloodLordFrenzy	328			37	109																	monfrenzy		ln12		velocitypercent	dm34	attackrate	dm34	other_animrate	dm34																																														weapon_giant_1		1		weapon_giant_1																												1	3		none												SQ	SQ	A2				1		1	1																		((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																		100	duration	5	duration/level	30	min % speed increase	60	max % speed increase									1	30	2						8	128																																				0
Baal Teleport	329				98																																																																																						48	73						baalteleport											1	0		none												SQ	SQ	S1				1																					((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																																		1								8																																					0
Imp Teleport	330				129																	attached																																																							sorceress_teleport														48	74					imp teleport	imp teleport											1	0		none												SQ	SQ	S1				1													1								((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																																		1								8																																					0
Baal Clone Teleport	331				98																																																																																						48	73					baalclonedeath	baalteleport											1	0		none												SQ	SQ	S1				1																					((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																																		1								8																																					0
ZakarumLightning	332													monsterlight																																																															sorceress_cast_lightning											light_cast_1								monsterlight													1	0		none												SQ	SQ	S1																	1								((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100	Damage																	1								0															ltng	256						320						clc4*200									0
VampireMissile	333													firehead																																																																																		firehead													1	0		none												SC	SC	SC																	1								((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100	Damage																	1								0															fire	256						320						clc4*200									0
MephistoMissile	334		mephmissile											mephisto																																																																																		mephisto													1	0		none												SC	SC	A2																	1								((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100 /2	Phys+Cold Damage																	1	100	0						0	128														cold	256						313						clc4*250	50								0
DoomKnightMissile	335				148												undeadmissile1																																																																											94					undeadmissile1												1	0		none												SC	SC	S1																									((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100	Damage																	1								8																																					0
RogueMissile	336				110												rogue1																																																																											66					rogue1												1	0		none												A1	A1	A1																									((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																	A1 Hireling missile																	1								8																																					0
HydraMissile	337													hydratwo																																																																																		hydratwo													1	0		none												SC	SC	SC																									((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																																		1								8																																					0
NecromageMissile	338				149												necromage1																																																																											95					necromage1												1	0		none												SC	SC	A1																									((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																																		1								8															mag	12	13	18	35	50	70	12	13	18	35	50	70	((100+stat('passive_mag_mastery'.accr)) * (100+(skill('Warmth'.lvl)*7)))/100-100									0
MonBow	339			4										cr_arrow6																																																																													11					cr_arrow6													1	0		rng												A1	A1	A1				1																					((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																																		1								8	128																																				0
MonFireArrow	340		fire arrow	4										monfirearrow																																																																													11					monfirearrow													1	0		rng												A1	A1	A1				1													1								((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																0	Damage (srcDmg 100% to fire)																	1	0	0						0															fire	256						475						clc4*250									0
MonColdArrow	341		cold arrow	4										moncoldarrow																																																																													11					moncoldarrow													1	4		rng												A1	A1	A1				1													1								((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																0	Damage (srcDmg 100% to cold)																	1	0	0						0															cold	256						313						clc4*250	50								0
MonExplodingArrow	342		exploding arrow	4										monexplodingarrow																																																																													11					monexplodingarrow													1	5		rng												A1	A1	A1				1													1								((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100	Damage																	1	0	0						0															fire	256						313						clc4*100									0
MonFreezingArrow	343		freezing arrow	4										monfreezingarrow																																																																													11					monfreezingarrow													1	7		rng												A1	A1	A1				1													1								((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1										par1+((lvl>=40) ? 3 : ((lvl>=20) ? 2 : 1))	damage radius					skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100	Damage	3	Radius of impact															1	0	0						0															cold	256						313						clc4*100	100								0
