Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add
of Fire Golem Summoning	100		1	36		26		nec	30	1	44	charged	94	-60	-3											wand	knif	head								0	0	0
of Fire Golem Summoning	100		1	72		62		nec	30	1	44	charged	94	-20	-1											hamm										0	0	0
of Revivification	100		1	36		26		nec	30	1	44	charged	95	-60	-3											wand	knif	head								0	0	0
of Revivification	100		1	72		62		nec	30	1	44	charged	95	-20	-1											pole										0	0	0
of Sacrifice	100		1	7		1		pal	1	1	44	charged	96	-30	-10											scep	ashd									0	0	0
of Sacrifice	100		1	14		4		pal	1	1	44	charged	96	-20	-6											mele							scep			0	0	0
of Holy Bolts	100		1	12		2		pal	6	1	44	charged	101	-30	-8											scep	ashd									0	0	0
of Holy Bolts	100		1	24		14		pal	6	1	44	charged	101	-20	-5											amul	circ									0	0	0
of Zeal	100		1	18		8		pal	12	1	44	charged	106	-30	-7											scep	ashd									0	0	0
of Zeal	100		1	36		26		pal	12	1	44	charged	106	-20	-4											mele							scep			0	0	0
of Vengeance	100		1	24		14		pal	18	1	44	charged	111	-30	-6											scep	ashd									0	0	0
of Vengeance	100		1	48		38		pal	18	1	44	charged	111	-20	-3											swor	axe									0	0	0
of Blessed Hammers	100		1	24		14		pal	18	1	44	charged	112	-30	-6											scep	ashd									0	0	0
of Blessed Hammers	100		1	48		38		pal	18	1	44	charged	112	-20	-3											hamm										0	0	0
of Conversion	100		1	30		21		pal	24	1	44	charged	116	-30	-5											scep	ashd									0	0	0
of Conversion	100		1	60		51		pal	24	1	44	charged	116	-20	-2											blun							scep			0	0	0
of Fist of the Heavens	100		1	36		26		pal	30	1	44	charged	121	-30	-3											scep	ashd									0	0	0
of Fist of the Heavens	100		1	72		62		pal	30	1	44	charged	121	-20	-1											glov										0	0	0
of Bashing	100		1	7		1		bar	1	1	44	charged	126	-60	-10											phlm										0	0	0
of Bashing	100		1	14		4		bar	1	1	44	charged	126	-20	-6											mele							staf	wand	orb	0	0	0
of Howling	100		1	7		1		bar	1	1	44	charged	130	-60	-10											phlm										0	0	0
of Howling	100		1	14		4		bar	1	1	44	charged	130	-20	-6																					0	0	0
of Potion Finding	100		1	7		1		bar	1	1	44	charged	131	-60	-10											phlm										0	0	0
of Potion Finding	100		1	14		4		bar	1	1	44	charged	131	-20	-6																					0	0	0
of Taunting	100		1	12		2		bar	6	1	44	charged	137	-60	-8											phlm										0	0	0
of Taunting	100		1	24		14		bar	6	1	44	charged	137	-20	-5																					0	0	0
of Shouting	100		1	12		2		bar	6	1	44	charged	138	-60	-8											phlm										0	0	0
of Shouting	100		1	24		14		bar	6	1	44	charged	138	-20	-5																					0	0	0
of Stunning	100		1	18		8		bar	12	1	44	charged	139	-60	-7											phlm							staf	wand	orb	0	0	0
of Stunning	100		1	36		26		bar	12	1	44	charged	139	-20	-4											mele										0	0	0
of Item Finding	100		1	18		8		bar	12	1	44	charged	142	-60	-7											phlm										0	0	0
of Item Finding	100		1	36		26		bar	12	1	44	charged	142	-20	-4																					0	0	0
of Concentration	100		1	24		14		bar	18	1	44	charged	144	-60	-6											phlm										0	0	0
of Concentration	100		1	48		38		bar	18	1	44	charged	144	-20	-3											mele							staf	wand	orb	0	0	0
of Battle Cry	100		1	24		14		bar	18	1	44	charged	146	-60	-6											phlm										0	0	0
of Battle Cry	100		1	48		38		bar	18	1	44	charged	146	-20	-3																					0	0	0
of Battle Orders	100		1	30		21		bar	24	1	44	charged	149	-60	-5											phlm										0	0	0
of Battle Orders	100		1	60		51		bar	24	1	44	charged	149	-20	-2																					0	0	0
of Grim Ward	100		1	30		21		bar	24	1	44	charged	150	-60	-5											phlm										0	0	0
of Grim Ward	100		1	60		51		bar	24	1	44	charged	150	-20	-2											amul										0	0	0
of War Cry	100		1	36		26		bar	30	1	44	charged	154	-60	-3											phlm										0	0	0
of War Cry	100		1	72		62		bar	30	1	44	charged	154	-20	-1																					0	0	0
of Battle Command	100		1	36		26		bar	30	1	44	charged	155	-60	-3											phlm										0	0	0
of Battle Command	100		1	72		62		bar	30	1	44	charged	155	-20	-1																					0	0	0
of Firestorms	100		1	7		1		dru	1	1	44	charged	225	-30	-10											club										0	0	0
of Firestorms	100		1	14		4		dru	1	1	44	charged	225	-20	-6											staf										0	0	0
of Molten Boulders	100		1	12		2		dru	6	1	44	charged	229	-30	-8											club										0	0	0
of Molten Boulders	100		1	24		14		dru	6	1	44	charged	229	-20	-5											mace										0	0	0
of Eruption	100		1	18		8		dru	12	1	44	charged	234	-30	-7											club										0	0	0
of Eruption	100		1	36		26		dru	12	1	44	charged	234	-20	-4											staf										0	0	0
of Cyclone Armor	100		1	18		8		dru	12	1	44	charged	235	-30	-7											club										0	0	0
of Cyclone Armor	100		1	36		26		dru	12	1	44	charged	235	-20	-4											tors										0	0	0
of Twister	100		1	24		14		dru	18	1	44	charged	240	-30	-6											club										0	0	0
of Twister	100		1	48		38		dru	18	1	44	charged	240	-20	-3											amul	circ									0	0	0
of Volcano	100		1	30		21		dru	24	1	44	charged	244	-30	-6											club										0	0	0
of Volcano	100		1	60		51		dru	24	1	44	charged	244	-20	-3											hamm										0	0	0
of Tornado	100		1	30		21		dru	24	1	44	charged	245	-30	-5											club										0	0	0
of Tornado	100		1	60		51		dru	24	1	44	charged	245	-20	-2											amul	circ									0	0	0
of Armageddon	100		1	36		26		dru	30	1	44	charged	249	-30	-3											club										0	0	0
of Armageddon	100		1	72		62		dru	30	1	44	charged	249	-20	-1											staf										0	0	0
of Hurricane	100		1	36		26		dru	30	1	44	charged	250	-30	-3											club										0	0	0
of Hurricane	100		1	72		62		dru	30	1	44	charged	250	-20	-1											amul	circ									0	0	0
of Damage Amplification	100		1	3		1				1	44	hit-skill	66	5	5											weap	glov	ring					orb			0	0	0
of the Icicle	100		1	30		21				2	10	cold-min		80	90	cold-max		160	180	cold-len		50	50	1	dblu	jewl										0	0	0
of the Glacier	100		1	55		45				2	10	cold-min		160	170	cold-max		320	340	cold-len		75	75	1	dblu	jewl										0	0	0
of Fire	100		1	30		21				2	12	fire-min		80	90	fire-max		160	180					1	dred	jewl										0	0	0
of Burning	100		1	55		45				2	12	fire-min		160	170	fire-max		320	340					1	dred	jewl										0	0	0
of Lightning	100		1	30		21				2	13	ltng-min		1	1	ltng-max		260	290					1	dyel	jewl										0	0	0
of Thunder	100		1	55		45				2	13	ltng-min		1	1	ltng-max		500	530					1	dyel	jewl										0	0	0
of Daring	100	1	1	20	50	11				3	17	dex		5	10											jewl										0	0	0
of Daring	100	1	1	50		41				3	17	dex		10	15											jewl										0	0	0
of Knowledge	100	1	1	20	50	11				3	23	enr		6	8											jewl										0	0	0
of Knowledge	100	1	1	50		41				3	23	enr		8	10											jewl										0	0	0
of Virility	100	1	1	20	50	11				3	31	str		5	10											jewl										0	0	0
of Virility	100	1	1	50		41				3	31	str		10	15											jewl										0	0	0
of Readiness	100	1	1	20		11				2	7	swing1		10	10											glov										0	0	0
of Craftsmanship	100	1	1	1	15	1				4	14	dmg-max		1	3											lcha	bowq	xboq								0	0	0
of Quality	100	1	1	15	30	5				4	14	dmg-max		2	4											lcha	bowq	xboq								0	0	0
of Maiming	100	1	1	30		21				4	14	dmg-max		3	5											lcha	bowq	xboq								0	0	0
of Craftsmanship	100	1	1	20	40	11				4	14	dmg-max		1	3											mcha										0	0	0
of Quality	100	1	1	40	60	31				4	14	dmg-max		2	4											mcha										0	0	0
of Craftsmanship	100	1	1	60		51				4	14	dmg-max		3	5											scha										0	0	0
of Blight	100		1	1	6	1				2	16	dmg-pois	75	21	21											lcha	bowq	xboq								0	0	0
of Venom	100		1	6	17	1				1	16	dmg-pois	100	39	39											lcha	bowq	xboq								0	0	0
of Pestilence	100		1	14	21	1				1	16	dmg-pois	125	52	52									1	dgrn	lcha	bowq	xboq								0	0	0
of Anthrax	100		1	21		11				1	16	dmg-pois	150	86	86									1	dgrn	lcha	bowq	xboq								0	0	0
of Blight	100		1	5	13	1				2	16	dmg-pois	75	21	21											mcha										0	0	0
of Venom	100		1	13	23	3				1	16	dmg-pois	100	39	39											mcha										0	0	0
of Pestilence	100		1	23	33	13				1	16	dmg-pois	125	52	52									1	dgrn	mcha										0	0	0
of Anthrax	100		1	33		23				1	16	dmg-pois	150	86	86									1	dgrn	mcha										0	0	0
of Blight	100		1	9	20	1				2	16	dmg-pois	75	21	21											scha										0	0	0
of Venom	100		1	20	32	11				1	16	dmg-pois	100	39	39											scha										0	0	0
of Pestilence	100		1	32	44	22				1	16	dmg-pois	125	52	52									1	dgrn	scha										0	0	0
of Anthrax	100		1	44		34				1	16	dmg-pois	150	86	86									1	dgrn	scha										0	0	0
of Frost	100		1	5	8	1				2	10	cold-min		1	1	cold-max		2	2	cold-len		25	25			lcha	bowq	xboq								0	0	0
of the Icicle	100		1	8	15	1				1	10	cold-min		2	2	cold-max		3	4	cold-len		25	25			lcha	bowq	xboq								0	0	0
of the Glacier	100		1	15	23	5				1	10	cold-min		3	3	cold-max		5	7	cold-len		25	25	1	dblu	lcha	bowq	xboq								0	0	0
of Winter	100		1	23		13				1	10	cold-min		4	6	cold-max		8	11	cold-len		25	25	1	dblu	lcha	bowq	xboq								0	0	0
of Frost	100		1	9	15	1				2	10	cold-min		1	1	cold-max		2	3	cold-len		25	25			mcha										0	0	0
of the Icicle	100		1	15	25	5				1	10	cold-min		2	2	cold-max		4	5	cold-len		25	25			mcha										0	0	0
of the Glacier	100		1	25	35	15				1	10	cold-min		3	3	cold-max		6	8	cold-len		25	25	1	dblu	mcha										0	0	0
of Winter	100		1	35		25				1	10	cold-min		4	6	cold-max		9	12	cold-len		25	25	1	dblu	mcha										0	0	0
of Frost	100		1	14	21	4				2	10	cold-min		1	1	cold-max		2	2	cold-len		25	25			scha										0	0	0
of the Icicle	100		1	21	33	11				1	10	cold-min		2	2	cold-max		3	4	cold-len		25	25			scha										0	0	0
of the Glacier	100		1	33	46	23				1	10	cold-min		3	3	cold-max		5	6	cold-len		25	25	1	dblu	scha										0	0	0
of Winter	100		1	46		36				1	10	cold-min		4	5	cold-max		7	9	cold-len		25	25	1	dblu	scha										0	0	0
of Flame	100		1	3	8	1				2	12	fire-min		1	1	fire-max		2	2							lcha	bowq	xboq								0	0	0
of Fire	100		1	8	14	1				1	12	fire-min		1	2	fire-max		3	3							lcha	bowq	xboq								0	0	0
of Burning	100		1	14	22	4				1	12	fire-min		2	3	fire-max		4	7					1	dred	lcha	bowq	xboq								0	0	0
of Incineration	100		1	22		12				1	12	fire-min		4	7	fire-max		8	14					1	dred	lcha	bowq	xboq								0	0	0
of Flame	100		1	7	14	1				2	12	fire-min		1	1	fire-max		2	2							mcha										0	0	0
of Fire	100		1	14	24	4				1	12	fire-min		2	2	fire-max		3	5							mcha										0	0	0
of Burning	100		1	24	34	14				1	12	fire-min		3	5	fire-max		6	11					1	dred	mcha										0	0	0
of Incineration	100		1	34		24				1	12	fire-min		6	10	fire-max		12	17					1	dred	mcha										0	0	0
of Flame	100		1	11	20	1				2	12	fire-min		1	1	fire-max		2	2							scha										0	0	0
of Fire	100		1	20	32	11				1	12	fire-min		2	2	fire-max		3	4							scha										0	0	0
of Burning	100		1	32	45	22				1	12	fire-min		3	4	fire-max		5	8					1	dred	scha										0	0	0
of Incineration	100		1	45		35				1	12	fire-min		5	7	fire-max		9	13					1	dred	scha										0	0	0
of Shock	100		1	4	7	1				2	13	ltng-min		1	1	ltng-max		2	3							lcha	bowq	xboq								0	0	0
of Lightning	100		1	7	15	1				1	13	ltng-min		1	1	ltng-max		4	7							lcha	bowq	xboq								0	0	0
of Thunder	100		1	15	22	5				1	13	ltng-min		1	1	ltng-max		8	21					1	dyel	lcha	bowq	xboq								0	0	0
of Storms	100		1	22		12				1	13	ltng-min		1	1	ltng-max		22	33					1	dyel	lcha	bowq	xboq								0	0	0
of Shock	100		1	7	14	1				2	13	ltng-min		1	1	ltng-max		3	5							mcha										0	0	0
of Lightning	100		1	14	24	4				1	13	ltng-min		1	1	ltng-max		6	13							mcha										0	0	0
of Thunder	100		1	24	34	14				1	13	ltng-min		1	1	ltng-max		14	25					1	dyel	mcha										0	0	0
of Storms	100		1	34		24				1	13	ltng-min		1	1	ltng-max		26	38					1	dyel	mcha										0	0	0
of Shock	100		1	12	21	2				2	13	ltng-min		1	1	ltng-max		3	6							scha										0	0	0
of Lightning	100		1	21	33	11				1	13	ltng-min		1	1	ltng-max		7	10							scha										0	0	0
of Thunder	100		1	33	45	23				1	13	ltng-min		1	1	ltng-max		11	18					1	dyel	scha										0	0	0
of Storms	100		1	45		35				1	13	ltng-min		1	1	ltng-max		19	28					1	dyel	scha										0	0	0
of Dexterity	100	1	1	1	20	1				4	17	dex		3	5											boot	glov									0	0	0
of Dexterity	100	1	1	1	20	1				4	17	dex		3	5											ring										0	0	0
of Strength	100	1	1	1	20	1				4	31	str		3	5											glov	belt									0	0	0
of Strength	100	1	1	1	20	1				4	31	str		3	5											ring										0	0	0
of Thorns	100		1	1	10	1				4	6	thorns		1	1											tors	shld									0	0	0
of Frost	100	1	1	1	15	1				4	10	dmg-cold	25	4	8											weap							staf	wand	orb	0	0	0
of Flame	100	1	1	1	15	1				4	12	dmg-fire		5	10											weap							staf	wand	orb	0	0	0
of Blight	100	1	1	1	15	1				4	16	dmg-pois	50	25	50											weap							scep	staf	orb	0	0	0
of Shock	100	1	1	1	15	1				4	13	dmg-ltng		1	20											weap							staf	wand	orb	0	0	0
of Regeneration	100	1	1	3		1				3	19	regen		30	30											amul	ring									0	0	0
of Energy	100	1	1	1	20	1				4	23	enr		6	10											amul	orb	circ	wand	staf	helm	ring				0	0	0
of Light	100	1	1	1	20	1				4	25	light		1	1	att		30	50							ring	amul									0	0	0
of the Leech	100	1	1	24	48	14				2	27	lifesteal		2	4											amul										0	0	0
of the Locust	100	1	1	48	72	38				2	27	lifesteal		3	5											amul										0	0	0
of the Lamprey	100	1	1	72		62				2	27	lifesteal		4	6									1	cred	amul										0	0	0
of the Bat	100	1	1	25	50	15				2	28	manasteal		2	3											ring										0	0	0
of the Wraith	100	1	1	50	75	41				2	28	manasteal		4	6											ring										0	0	0
of the Vampire	100	1	1	75		65				2	28	manasteal		7	8									1	cred	ring										0	0	0
of the Colosuss	100	1	1	40	92	31				3	45	crush		7	8	dmg%		30	40					1	cred	2Hwp							staf	miss		0	0	0
of the Colosuss	100	1	1	40	92	31				3	45	crush		3	4	dmg%		30	40					1	cred	weap							orb	wand	2Hwp	0	0	0
of the Colosuss	100	1	1	85		80				3	45	crush		9	10	dmg%		60	80					1	cred	2Hwp							staf	miss		0	0	0
of the Colosuss	100	1	1	85		80				3	45	crush		4	5	dmg%		60	80					1	cred	weap							orb	wand	2Hwp	0	0	0
of the Colosuss	100	1	1	8	60	1				3	45	crush		1	1	deadly		15	20					1	cred	glov	boot									0	0	0
of the Colosuss	100	1	1	60		51				3	45	crush		2	2	deadly		21	25					1	cred	glov	boot									0	0	0
of the Wraith	100	1	1	1	30	1				1	52	heal-kill		3	5	mana-kill		3	5							belt										0	0	0
of the Wraith	100	1	1	20	40	11				1	52	heal-kill		7	10	mana-kill		7	10							belt										0	0	0
of the Wraith	100	1	1	30	50	21				1	52	heal-kill		11	16	mana-kill		11	16							belt										0	0	0
of the Wraith	100	1	1	40		31				1	52	heal-kill		17	23	mana-kill		17	23							belt										0	0	0
of the Wraith	100	1	1	50		41				1	52	heal-kill		24	25	mana-kill		24	25							belt										0	0	0
of the Colosuss	100	1	1	20	80	11				1	56	red-dmg%		5	6									1	blac	tors	helm	shld	belt							0	0	0
of the Colosuss	100	1	1	50		41				1	56	red-dmg%		6	8									1	blac	tors	helm	shld	belt							0	0	0
of the Colosuss	100	1	1	80		71				1	56	red-dmg%		8	10									1	blac	tors	helm	shld	belt							0	0	0
of Unity	100	1	1	60		51				1	57	all-stats		4	6											jewl										0	0	0
of Unison	100	1	1	60		51				1	58	all-stats		5	10											bowq	xboq	helm	circ	amul						0	0	0
of Unification	100	1	1	80		71				1	59	all-stats		10	15											tors	shld	xboq	bowq	amul						0	0	0
of Arkaine	100	1	1	60		51				1	60	res-mag		15	30											tors	shld	xboq	bowq	amul						0	0	0
of Magik	100	1	1	60		51				1	60	res-mag		10	20											ring	amul	helm	circ							0	0	0
of Exorcism	100	1	1	50		41				1	61	resistcurse		8	12											helm	circ	lcha	tors							0	0	0
of the Exorcist	100	1	1	50		41				1	61	resistcurse		8	12											jewl	ring	amul	glov	boot						0	0	0
of Conjuring	100	1	1	80		71				1	9	cast2		15	20											ring	amul	pelt	circ	rod	wand	staf				0	0	0
of the Colosuss	100	1	1	50		41				1	56	red-dmg%		4	6									1	blac	ring	amul	jewl								0	0	0
of the Colosuss	100	1	1	80		71				1	56	red-dmg%		6	10									1	blac	ring	amul	jewl								0	0	0
of Immolation	100	1	1	25	54	15				1	44	melee-skill	600	8	10									1	dred	belt	glov	helm								0	0	0
of Immolation	100	1	1	55	84	45				1	44	melee-skill	600	8	30									1	dred	belt	glov	helm								0	0	0
of Immolation	100	1	1	85		75				1	44	melee-skill	600	8	50									1	dred	belt	glov	helm								0	0	0
of Frost Nova	100		1	25	54	15				1	44	gethit-skill	601	10	10									1	dblu	boot	ring	helm	amul	shld						0	0	0
of Frost Nova	100		1	55	84	45				1	44	gethit-skill	601	10	30									1	dblu	boot	ring	helm	amul	shld						0	0	0
of Frost Nova	100		1	85		75				1	44	gethit-skill	601	10	50									1	dblu	boot	ring	helm	amul	shld						0	0	0
of Meteor	100	1	1	25	54	15				1	44	melee-skill	602	8	10									1	dred	belt	glov	helm								0	0	0
of Meteor	100	1	1	55	84	45				1	44	melee-skill	602	8	30									1	dred	belt	glov	helm								0	0	0
of Meteor	100	1	1	85		75				1	44	melee-skill	602	8	50									1	dred	belt	glov	helm								0	0	0
of Hydra	100		1	25	54	15				1	44	melee-skill	603	8	10									1	oran	mele	glov	helm	belt							0	0	0
of Hydra	100		1	55	84	45				1	44	melee-skill	603	8	30									1	oran	mele	glov	helm	belt							0	0	0
of Hydra	100		1	85		75				1	44	melee-skill	603	8	50									1	oran	mele	glov	helm	belt							0	0	0
of Poison Nova	100		1	25	54	15				1	44	gethit-skill	609	10	10									1	dgrn	boot	ring	helm	amul	shld						0	0	0
of Poison Nova	100		1	55	84	45				1	44	gethit-skill	609	10	30									1	dgrn	boot	ring	helm	amul	shld						0	0	0
of Poison Nova	100		1	85		75				1	44	gethit-skill	609	10	50									1	dgrn	boot	ring	helm	amul	shld						0	0	0
of War Cry	100		1	25	54	15				1	44	gethit-skill	610	10	10									1	dyel	boot	ring	helm	amul	shld						0	0	0
of War Cry	100		1	55	84	45				1	44	gethit-skill	610	10	30									1	dyel	boot	ring	helm	amul	shld						0	0	0
of War Cry	100		1	85		75				1	44	gethit-skill	610	10	50									1	dyel	boot	ring	helm	amul	shld						0	0	0
of Tornado	100	1	1	25	54	15				1	44	melee-skill	611	8	10									1	whit	belt	glov	helm								0	0	0
of Tornado	100	1	1	55	84	45				1	44	melee-skill	611	8	30									1	whit	belt	glov	helm								0	0	0
of Tornado	100	1	1	85		75				1	44	melee-skill	611	8	50									1	whit	belt	glov	helm								0	0	0
of Hurricane	100		1	25	54	15				1	44	gethit-skill	612	5	10									1	dblu	boot	ring	helm	amul	shld						0	0	0
of Hurricane	100		1	55	84	45				1	44	gethit-skill	612	5	30									1	dblu	boot	ring	helm	amul	shld						0	0	0
of Hurricane	100		1	85		75				1	44	gethit-skill	612	5	50									1	dblu	boot	ring	helm	amul	shld						0	0	0
of Armageddon	100		1	25	54	15				1	44	gethit-skill	613	5	10									1	oran	boot	ring	helm	amul	shld						0	0	0
of Armageddon	100		1	55	84	45				1	44	gethit-skill	613	5	30									1	oran	boot	ring	helm	amul	shld						0	0	0
of Armageddon	100		1	85		75				1	44	gethit-skill	613	5	50									1	oran	boot	ring	helm	amul	shld						0	0	0
of Lightning	100	1	1	25	54	15				1	44	melee-skill	614	8	10									1	whit	belt	glov	helm								0	0	0
of Lightning	100	1	1	55	84	45				1	44	melee-skill	614	8	30									1	whit	belt	glov	helm								0	0	0
of Lightning	100	1	1	85		75				1	44	melee-skill	614	8	50									1	whit	belt	glov	helm								0	0	0
of Charged Bolt	100		1	25	54	15				1	44	gethit-skill	615	10	10									1	whit	boot	ring	helm	amul	shld	ring					0	0	0
of Charged Bolt	100		1	55	84	45				1	44	gethit-skill	615	10	30									1	whit	boot	ring	helm	amul	shld	ring					0	0	0
of Charged Bolt	100		1	85		75				1	44	gethit-skill	615	10	50									1	whit	boot	ring	helm	amul	shld	ring					0	0	0
of Fire Ball	100	1	1	25	54	15				1	44	melee-skill	616	8	10									1	dred	belt	glov	helm								0	0	0
of Fire Ball	100	1	1	55	84	45				1	44	melee-skill	616	8	30									1	dred	belt	glov	helm								0	0	0
of Fire Ball	100	1	1	85		75				1	44	melee-skill	616	8	50									1	dred	belt	glov	helm								0	0	0
of Frozen Orb	100	1	1	25	54	15				1	44	melee-skill	617	8	10									1	dblu	belt	glov	helm								0	0	0
of Frozen Orb	100	1	1	55	84	45				1	44	melee-skill	617	8	30									1	dblu	belt	glov	helm								0	0	0
of Frozen Orb	100	1	1	85		75				1	44	melee-skill	617	8	50									1	dblu	belt	glov	helm								0	0	0
of Bone Spear	100	1	1	25	54	15				1	44	melee-skill	618	8	10									1	whit	belt	glov	helm								0	0	0
of Bone Spear	100	1	1	55	84	45				1	44	melee-skill	618	8	30									1	whit	belt	glov	helm								0	0	0
of Bone Spear	100	1	1	85		75				1	44	melee-skill	618	8	50									1	whit	belt	glov	helm								0	0	0
of Amplify Damage	100	1	1	25		15				1	44	melee-skill	604	6	1									1	dgld	mele	ring	amul	helm	glov						0	0	0
of Weaken	100	1	1	25		15				1	44	melee-skill	605	6	1									1	dgld	glov	ring	amul	helm							0	0	0
of Life Tap	100		1	25		15				1	44	melee-skill	606	6	1									1	dgld	mele	ring	amul	helm	glov						0	0	0
of Decrepify	100		1	25		15				1	44	melee-skill	607	6	1									1	dgld	mele	ring	amul	helm	glov						0	0	0
of Lower Resistance	100		1	25		15				1	44	melee-skill	608	6	1									1	dgld	mele	ring	amul	helm	glov						0	0	0
of Fire Ball2	100	1	1	25	54	15				1	44	hit-skill	616	4	10									1	dred	miss										0	0	0
of Fire Ball2	100	1	1	55	84	45				1	44	hit-skill	616	4	30									1	dred	miss										0	0	0
of Fire Ball2	100	1	1	85		75				1	44	hit-skill	616	4	50									1	dred	miss										0	0	0
of Frozen Orb2	100	1	1	25	54	15				1	44	hit-skill	617	4	10									1	dblu	miss										0	0	0
of Frozen Orb2	100	1	1	55	84	45				1	44	hit-skill	617	4	30									1	dblu	miss										0	0	0
of Frozen Orb2	100	1	1	85		75				1	44	hit-skill	617	4	50									1	dblu	miss										0	0	0
of Bone Spear2	100	1	1	25	54	15				1	44	hit-skill	618	4	10									1	whit	miss										0	0	0
of Bone Spear2	100	1	1	55	84	45				1	44	hit-skill	618	4	30									1	whit	miss										0	0	0
of Bone Spear2	100	1	1	85		75				1	44	hit-skill	618	4	50									1	whit	miss										0	0	0
of Amplify Damage2	100		1	25		15				1	44	hit-skill	604	4	1									1	dgld	miss										0	0	0
of Weaken2	100		1	25		15				1	44	hit-skill	605	4	1									1	dgld	miss										0	0	0
of Life Tap2	100		1	25		15				1	44	hit-skill	606	4	1									1	dgld	miss										0	0	0
of Decrepify2	100		1	25		15				1	44	hit-skill	607	4	1									1	dgld	miss										0	0	0
of Lower Resistance2	100		1	25		15				1	44	hit-skill	608	4	1									1	dgld	miss										0	0	0
of Phasing	100	1	1	81		81				1	44	oskill	128	1	1									1	dblu	pelt										0	0	0
of Hoarfrost	100	1	1	20	85	20				1	62	extra-cold		4	5									1	dblu	glov	belt	boot								0	0	0
of Searing	100	1	1	20	85	20				1	62	extra-fire		4	5									1	dred	glov	belt	boot								0	0	0
of Cracking	100	1	1	20	85	20				1	62	extra-ltng		4	5									1	dyel	glov	belt	boot								0	0	0
of Malignancy	100	1	1	20	85	20				1	62	extra-pois		4	5									1	dgrn	glov	belt	boot								0	0	0
of Bewitchment	100	1	1	20	85	20				1	62	extra-mag		4	5									1	whit	glov	belt	boot								0	0	0
of Impact	100	1	1	20	85	20				1	62	extra-phys		4	5									1	blac	glov	belt	boot								0	0	0
of Thaumaturgy	100	1	1	30		30				5	62	extra-all		4	5									1	oran	glov	belt	boot								0	0	0
