skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	ListPool	IconCel	str name	str short	str long	str alt	str mana	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	eol
arctic blast	3	3	6	3	0	42	Skillname231	Skillsd231	Skillld231	Skillan231	StrSkill3	5																1					10																																			31	StrSkill13		edln		7	missiles		clc1		40	Sksyn	Skillname231	2		18	druelesyn				18	drusyncap				18	energysyn																			0
cycle of life	1	5	6	1	0	8	Skillname232	Skillsd232	Skillld232	Skillan232	StrSkill3																	1					3	StrSkill50	percent	clc4		13			clc1																																66	CastDelayDesc		clc3																																					0
feral rage	2	5	2	2	0	54	Skillname233	Skillsd233	Skillld233	Skillan233	StrSkill3	1												2				1					63	EskillLifeSteal2	space	(par2 * clc2)/2		52	StrSkill89	percent	par3	par3 * clc2	2	StrSkill4	percent	clc1		2	StrSkill22	percent	toht							12	StrSkill20		len		72	WeapDamsk		1	2	18	aoeattack																																												0
maul	2	5	6	2	0	56	Skillname234	Skillsd234	Skillld234	Skillan234	StrSkill3	1	clc1											2				1					43	StrSkill48	StrSkill16	par3*256/25	(par3 * clc2)*256/25	52	StrSkill4	percent	clc1	clc1+(clc2 * par2)	2	StrSkill22	percent	toht												12	StrSkill20		len																																																				0
eruption	3	5	2	3	0	38	Skillname235	Skillsd235	Skillld235	Skillan235	StrSkill3	5													erruption center			1										22					10					9																				66	CastDelayDesc		clc4		66	NextHitDelayDesc		3		40	Sksyn	Skillname235	2		18	druelesyn				18	drusyncap				18	energysyn																			0
cyclone armor	3	1	6	3	0	40	Skillname236	Skillsd236	Skillld236	Skillan236	StrSkill3																	1					2	StrSkill31	percent	ln34		3	cmdru	percent	clc1		2	fmdru	percent	clc1		2	pmdru	percent	clc2		18	10levels				67	hppotdesc	space	clc4*25/256																																																				0
heart of wolverine	1	7	2	1	0	10	Skillname237	Skillsd237	Skillld237	Skillan237	StrSkill3																	1					19	StrSkill18		rng		2	StrSkill4	percent	ln34		2	StrSkill22	percent	ln34		6	healHitSkillDesc		clc4							67	ModStr2l	space	clc3		2	StrSkill100	space	sklvl('Wolverine Aura'.lvl.ast4)/256												40	Sksyn	Skillname237	2		67	Skillname227	hpperlev	20		64	Skillname247	ModStr2l	skill('Spirit of Barbs'.blvl)*5		67	Skillname247	replifeplev	30																	0
summon fenris	1	7	4	1	0	12	Skillname238	Skillsd238	Skillld238	Skillan238	StrSkill3																	1																				47	StrSkill4		(100+pst4)*pst2/100	(100+pst4)*pst3/100	13			clc1	clc3*(100+clc1)/100	5	ESkillWolves		pets												66	CastDelayDesc		100		40	Sksyn	Skillname238	2		18	Skillname224																													0
rabies	2	7	4	2	0	24	Skillname239	Skillsd239	Skillld239	Skillan239	StrSkill3	23												2				1					14					2	StrSkill22	percent	toht																																					40	Sksyn	Skillname239	2		63	Skillname223	Poisdplev	par8		18	energysyn																								0
fire claws	2	7	6	2	0	26	Skillname240	Skillsd240	Skillld240	Skillan240	StrSkill3	5												1				1										10					9					2	StrSkill22	percent	toht																						66	Convphy2fire		50		40	Sksyn	Skillname240	2		63	Skillname229	Firedplev	par8		18	energysyn																								0
twister	3	7	6	3	0	36	Skillname241	Skillsd241	Skillld241	Skillan241	StrSkill3	5																1					10																																			31	StrSkill13		edln		66	CastDelayDesc		len		40	Sksyn	Skillname241	2		18	druelesyn				18	drusyncap				18	energysyn																			0
vines	1	9	6	1	0	14	Skillname242	Skillsd242	Skillld242	Skillan242	StrSkill3																	1					3	StrSkill88	percent	clc4							13			clc1																						66	CastDelayDesc		clc3																																										0
hunger	2	7	2	2	0	58	Skillname243	Skillsd243	Skillld243	Skillan243	StrSkill3	5												1				1										10					9					2	StrSkill22	percent	toht							31	StrSkill13		edln												66	Convphy2cold		50		40	Sksyn	Skillname243	2		63	Skillname224	Colddplev	par8		18	energysyn																								0
shock wave	2	9	6	2	0	28	Skillname244	Skillsd244	Skillld244	Skillan244	StrSkill3	7																1					12	StrSkill48		ln12		10					9															66	CastDelayDesc		len							72	WeapDamsk		2	1	7	missiles		blvl/2																																					0
volcano	3	9	4	3	0	44	Skillname245	Skillsd245	Skillld245	Skillan245	StrSkill3	5																1					11					10					9					8																				66	CastDelayDesc		clc3		66	NextHitDelayDesc		6		40	Sksyn	Skillname245	2		18	druelesyn				18	drusyncap				18	energysyn																			0
tornado	3	7	4	3	0	46	Skillname246	Skillsd246	Skillld246	Skillan246	StrSkill3	5																1					11					10					9					8																									7	missiles		clc1		40	Sksyn	Skillname246	2		18	druelesyn				18	drusyncap				18	energysyn																			0
spirit of barbs	1	11	2	1	0	4	Skillname247	Skillsd247	Skillld247	Skillan247	StrSkill3																	1					19	StrSkill18		rng							2	SorbDescSoB	StrSkill23	clc1		67	ModStr2l	space	clc3							2	StrSkill40	percent	clc4		2	StrSkill100	space	sklvl('Wolverine Aura'.lvl.ast4)/256												40	Sksyn	Skillname247	2		67	Skillname227	hpperlev	20		18	salvsyn1/10																								0
summon grizzly	1	11	4	1	0	18	Skillname248	Skillsd248	Skillld248	Skillan248	StrSkill3																	1																				47	StrSkill4		(100+pst4)*pst2/100	(100+pst4)*pst3/100	13			clc1	clc3*(100+clc1)/100	18	aoeattack														66	CastDelayDesc		len		40	Sksyn	Skillname248	2		18	Skillname229																													0
fury	2	11	2	2	0	30	Skillname249	Skillsd249	Skillld249	Skillan249	StrSkill3	7	clc2											2				1					2	StrSkill4	percent	clc2		2	StrSkill22	percent	toht		7	StrSkill11		((par5*(lvl-1)) >= par6) ? 0 : clc1																						7	StrSkill11		((par5*(lvl-2)) >= par6) ? clc1 : 0							40	Sksyn	Skillname249	2		63	Skillname249	Damplev	40																											0
armageddon	3	11	2	3	0	50	Skillname250	Skillsd250	Skillld250	Skillan250	StrSkill3	5													armageddonfire			1					12	StrSkill20		len		23	StrSkill82				35	DOTdesc		miss('armageddonfire'.edmn)*25*(100+stat('passive_fire_mastery'.accr))/100	miss('armageddonfire'.edmx)*25*(100+stat('passive_fire_mastery'.accr))/100	10															19	StrSkill18		par3												40	Sksyn	Skillname250	2		63	Skillname226	Firedplev	par8		63	Skillname235	Firedplev	par8		63	Skillname230	Firedplev	par8		63	Skillname245	Firedplev	par8		18	gedcanedur				18	energysyn				0
hurricane	3	11	6	3	0	48	Skillname251	Skillsd251	Skillld251	Skillan251	StrSkill3	5																1					12	StrSkill20		len												10										31	StrSkill13		edln		19	StrSkill18		par3							66	PulseDelayDesc		par4		40	Sksyn	Skillname251	2		63	Skillname231	Colddplev	par8		63	Skillname241	Colddplev	par8		63	Skillname246	Colddplev	par8		18	gedcanedur				18	energysyn									0
fire trauma	0	0	0	0	0	0	Skillname252	Skillsd252	Skillld252	Skillan252	StrSkill3	5																1					10																									19	StrSkill18		par1																	40	Sksyn	Skillname252	2		63	Skillname263	Firedplev	par8		63	Skillname273	Firedplev	par8		18	energysyn																			0
claw mastery	2	1	6	2	0	20	Skillname253	Skillsd253	Skillld253	Skillan253	StrSkill3																	51	eskillincasemasteryX		clc4		2	StrSkill22	percent	math		2	StrSkill4	percent	clc3		2	StrSkill31	percent	pst4		2	hpbonus	percent	pst5																											40	Sksyn	Skillname253	2		63	anymaskill	Defplev	par8		63	Skillname253	Damplev	25																						0
psychic hammer	2	1	4	2	0	22	Skillname254	Skillsd254	Skillld254	Skillan254	StrSkill3	5																1					11					10					9					8																														40	Sksyn	Skillname254	2		63	Skillname274	Magdplev	par8		63	Skillname269	Magdplev	par8		18	energysyn																			0
tiger strike	3	11	2	3	0	40	Skillname255	Skillsd255	Skillld255	Skillan255	StrSkill3	1	clc1											1				1					2	StrSkill22	StrSkill23	toht		2	StrSkill4	StrSkill23	clc1																											52	StrSkill39	strEskilllighttoattack	(pets==0) ? 0 : (pets*80/100)	(pets==0) ? 0 : (pets*120/100)						40	Sksyn	Skillname255	2		63	Skillname255	Damplev	30																											0
dragon talon	3	1	6	3	0	42	Skillname256	Skillsd256	Skillld256	Skillan256	StrSkill3	7	clc2											2				1					2	StrSkill4	percent	clc2		2	StrSkill30	StrSkill23	toht																																					40	Sksyn	Skillname256	2		63	Skillname256	Damplev	35																											0
shock field	0	0	0	0	0	2	Skillname257	Skillsd257	Skillld257	Skillan257	StrSkill3	5																1					10																									5	ESkillSpikes		clc4																	40	Sksyn	Skillname257	2		63	Skillname262	Ltngdplev	par8		63	Skillname272	Ltngdplev	par8		18	energysyn																			0
blade sentinel	1	3	4	1	0	4	Skillname258	Skillsd258	Skillld258	Skillan258	StrSkill3	5																1					9																									66	NextHitDelayDesc		5		12	StrSkill20		clc4												40	Sksyn	Skillname258	2		63	Skillname268	Damplev	par8		63	Skillname267	Damplev	par8																						0
quickness	2	3	2	2	0	36	Skillname259	Skillsd259	Skillld259	Skillan259	StrSkill3																	1					12	StrSkill20		len		2	StrSkill89	percent	clc3		63	ModStr4y	space	clc3		2	StrSkill106	percent	clc4		2	boskick	space	ast5		63	skillname33	space	clc2							67	hppotdesc	space	clc1*25/256							40	Sksyn	Skillname259	2		63	Skillname259	AttSpeedplev	1		63	Skillname267	piercepl	2																						0
fists of fire	3	5	2	3	0	44	Skillname260	Skillsd260	Skillld260	Skillan260	StrSkill3	5													meteorfirefof			1										35	DOTdesc		miss('meteorfirefof'.edmn)*75*(100+stat('passive_fire_mastery'.accr))/100	miss('meteorfirefof'.edmx)*75*(100+stat('passive_fire_mastery'.accr))/100	10					18	foffire																			66	CastDelayDesc		clc4							40	Sksyn	Skillname260	2		63	Skillname263	Firedplev	par8		63	Skillname273	Firedplev	par8		18	energysyn																			0
dragon claw	3	3	6	3	0	46	Skillname261	Skillsd261	Skillld261	Skillan261	StrSkill3	19	clc1											2				1					2	StrSkill22	percent	toht		2	StrSkill4	percent	clc1																	12	StrSkill48		min(250,edln)		72	WeapDamsk		5	4	18	dualwield									40	Sksyn	Skillname261	2		63	Skillname261	Damplev	25																											0
charged bolt sentry	1	5	2	1	0	6	Skillname262	Skillsd262	Skillld262	Skillan262	StrSkill3	5																1					10																									3	ESkillShoots	ESkillTimes	sklvl('BoltSentry'.lvl.clc4)																	40	Sksyn	Skillname262	2		63	Skillname270	Ltngdplev	par8		63	Skillname272	Ltngdplev	par8		18	energysyn																			0
wake of fire sentry	1	5	6	1	0	8	Skillname263	Skillsd263	Skillld263	Skillan263	StrSkill3	5																1					10																									3	ESkillShoots	ESkillTimes	sklvl('Wake Of Destruction Sentry'.lvl.clc4)																	40	Sksyn	Skillname263	2		63	Skillname260	Firedplev	par8		63	Skillname273	Firedplev	par8		18	energysyn																			0
weapon block	2	5	6	2	0	26	Skillname264	Skillsd264	Skillld264	Skillan264	StrSkill3																	2	Strskillblock	percent	pst1		2	Strskillfbr	percent	pst2																						18	wblockmax																			40	Sksyn	Skillname264	2		18	wblockdex																													0
cloak of shadows	2	5	4	2	0	24	Skillname265	Skillsd265	Skillld265	Skillan265	StrSkill3																	1					19	StrSkill56		rng							3	StrSkill54	percent	clc4		3	StrSkill25	percent	ln56							12	StrSkill20		len/2		18	5levelmax																																	2																0
cobra strike	3	7	4	3	0	50	Skillname266	Skillsd266	Skillld266	Skillan266	StrSkill3	5												1		cobrastrikepoisnova		1					2	StrSkill22	percent	toht		14																				2	Eskillpowerup3	Eskillpudmana	ln12 * 2		25	Eskillpowerup2	skillan92			2	Eskillpowerup2	Eskillpudmana	ln12		2	Eskillpowerup1	Eskillpudlife	ln12		40	Sksyn	Skillname266	2		63	Skillname279	Poisdplev	par8		63	Skillname253	Poisdplev	par8		18	energysyn																			0
blade fury	1	7	4	1	0	10	Skillname267	Skillsd267	Skillld267	Skillan267	StrSkill3	5												1				1					2	StrSkill22	percent	toht		9																				72	WeapDamsk		1	1						7	missiles		clc1							40	Sksyn	Skillname267	2		71	Skillname267	Missplev3	par2																											0
fade	2	7	2	2	0	30	Skillname268	Skillsd268	Skillld268	Skillan268	StrSkill3																	1					12	StrSkill20		len		2	StrSkill54	percent	clc3		63	PhysRes	space	ast2		3	EPoisR	percent	ast3		3	StrSkill85	percent	ast1		63	EskillLifeSteal	space	blvl/5																	40	Sksyn	Skillname268	2		63	Skillname264	ResistAll	1		63	Skillname261	ResistAll	1		63	Skillname261	PhysResper4lvl	1		63	Skillname268	PhysResper2lvl	1		64	Skillname268	cursered	1	4						0
shadow warrior	2	7	6	2	0	38	Skillname269	Skillsd269	Skillld269	Skillan269	StrSkill3																	1															4	StrMag		min(ln56,99)		13			(lvl-1)*par1							66	CastDelayDesc		150 * (100-min(stat('item_cast_delay_reduced'.accr),skill('Kick'.par4)))/100																										25																										0
claws of thunder	3	5	4	3	0	58	Skillname270	Skillsd270	Skillld270	Skillan270	StrSkill3	5																1										22					10																									66	CastDelayDesc		clc4							40	Sksyn	Skillname270	2		63	Skillname262	Ltngdplev	par8		63	Skillname272	Ltngdplev	par8		18	energysyn																			0
dragon tail	3	5	6	3	0	48	Skillname271	Skillsd271	Skillld271	Skillan271	StrSkill3	7	clc1											1									2	StrSkill22	percent	toht							2	StrSkill4	percent	ast1												72	WeapDamsk		2	3	18	aoeattack				18	1level				1																																								0
lightning sentry	1	9	2	1	0	12	Skillname272	Skillsd272	Skillld272	Skillan272	StrSkill3	5																1					10																									3	ESkillShoots	ESkillTimes	sklvl('sentry lightning'.lvl.clc4)																	40	Sksyn	Skillname272	2		63	Skillname270	Ltngdplev	par8		63	Skillname262	Ltngdplev	par8		18	energysyn																			0
inferno sentry	1	9	6	1	0	14	Skillname273	Skillsd273	Skillld273	Skillan273	StrSkill3																	1					23	StrSkill82				35	DOTdesc		miss('immolationtrapfire'.edmx)*75*(100+stat('passive_fire_mastery'.accr))/100	miss('immolationtrapfire'.edmx)*75*(100+stat('passive_fire_mastery'.accr))/100	24	StrSkill83				18	immotrapdur									3	ESkillShoots	ESkillTimes	sklvl('Immolation Sentry'.lvl.clc4)		19	StrSkill18		par1												40	Sksyn	Skillname273	2		63	Skillname260	Firedplev	par8		63	Skillname263	Firedplev	par8		18	energysyn																			0
mind blast	2	9	4	2	0	34	Skillname274	Skillsd274	Skillld274	Skillan274	StrSkill3	5																1					10																														16	StrSkill20		par3	par3+par4	3	StrSkill99	percent	dm56		66	CastDelayDesc		clc4		40	Sksyn	Skillname274	2		63	Skillname254	Magdplev	par8		63	Skillname269	Magdplev	par8		18	energysyn																			0
blades of ice	3	7	2	3	0	52	Skillname275	Skillsd275	Skillld275	Skillan275	StrSkill3	5																1										22					10																									66	CastDelayDesc		clc4							40	Sksyn	Skillname275	2		63	Skillname253	Colddplev	par8		63	Skillname281	Colddplev	par8		18	energysyn																			0
dragon flight	3	9	6	3	0	54	Skillname276	Skillsd276	Skillld276	Skillan276	StrSkill3	15												1				1					2	StrSkill22	percent	toht		2	StrSkill4	percent	ln12																																																																								0
death sentry	1	11	6	1	0	16	Skillname277	Skillsd277	Skillld277	Skillan277	StrSkill3																	1										37	StrSkill18		sklvl('mon death sentry'.lvl.rng)																	3	ESkillShoots	ESkillTimes	sklvl('mon death sentry'.lvl.clc4)		38	StrSkill39	StrSkill46	skill('mon death sentry'.par1)	skill('mon death sentry'.par2)																																														0
blade shield	1	11	4	1	0	18	Skillname278	Skillsd278	Skillld278	Skillan278	StrSkill3	5																1					12	StrSkill20		len		9																				72	WeapDamsk		1	2						18	1level				66	PulseDelayDesc		par3																																					0
venom	2	11	2	2	0	28	Skillname279	Skillsd279	Skillld279	Skillan279	StrSkill3																	1					12	StrSkill20		len		14																																								40	Sksyn	Skillname279	2		63	Skillname268	Poisdplev	par8																											0
shadow master	2	11	6	2	0	32	Skillname280	Skillsd280	Skillld280	Skillan280	StrSkill3																	1										4	StrSkill22		pst1		4	StrMag		min(ln56,99)		13			(lvl-1)*par1							66	CastDelayDesc		150 * (100-min(stat('item_cast_delay_reduced'.accr),skill('Kick'.par4)))/100																																																				0
royal strike	3	11	4	3	0	56	Skillname281	Skillsd281	Skillld281	Skillan281	StrSkill3	18			cold	m3en*(100+stat('passive_cold_mastery'.accr))/100	m3ex*(100+stat('passive_cold_mastery'.accr))/100	ltng	m2en*(100+stat('passive_ltng_mastery'.accr))/100	m2ex*(100+stat('passive_ltng_mastery'.accr))/100	fire	m1en*(100+stat('passive_fire_mastery'.accr))/100	m1ex*(100+stat('passive_fire_mastery'.accr))/100	1	royalstrikemeteor	royalstrikechainlightning	royalstrikechaosice	1					2	StrSkill22	StrSkill23	toht		35	DOTdesc		miss('royalstrikemeteorfire'.edmn)*75*(100+stat('passive_fire_mastery'.accr))/100	miss('royalstrikemeteorfire'.edmx)*75*(100+stat('passive_fire_mastery'.accr))/100	62	Eskillpowerup3	Eskillphoenix1	m1en*(100+stat('passive_fire_mastery'.accr))/100	m1ex*(100+stat('passive_fire_mastery'.accr))/100	62	Eskillpowerup2	Eskillphoenix2	m2en*(100+stat('passive_ltng_mastery'.accr))/100	m2ex*(100+stat('passive_ltng_mastery'.accr))/100	62	Eskillpowerup1	Eskillphoenix3	m3en*(100+stat('passive_cold_mastery'.accr))/100	m3ex*(100+stat('passive_cold_mastery'.accr))/100						30	StrSkill82		ln34		30	StrSkill29		m3el							40	Sksyn	Skillname281	2		63	Skillname281	Firedplev	par8		63	Skillname281	Colddplev	par8		63	Skillname281	Ltngdplev	par8		18	energysyn														0
delerium change	0	0	0	0	0	2	Runeword22	Runeword22	Runeword22	Runeword22	StrSkill3																																																																																																						0
baal nova	0	0	0	0	0	2	baalnova	baalnova	baalnova	baalnova	StrSkill3																																																																																																						0
baal cold	0	0	0	0	0	2	baalfrost	baalfrost	baalfrost	baalfrost	StrSkill3																																																																																																						0
diabfire	0	0	0	0	0	2	diabfire	diabfire	diabfire	diabfire	StrSkill3																																																																																																						0
diabwall	0	0	0	0	0	2	diabwall	diabwall	diabwall	diabwall	StrSkill3																																																																																																						0
mephmissile	0	0	0	0	0	2	mephorb	mephorb	mephorb	mephorb	StrSkill3																																																																																																						0
vortex	0	0	0	0	0	2	mephspear	mephspear	mephspear	mephspear	StrSkill3																																																																																																						0
icestorm	0	0	0	0	0	2	durielquake	durielquake	durielquake	durielquake	StrSkill3																																																																																																						0
andyspray	0	0	0	0	0	2	andyspray	baalfrost	baalfrost	baalfrost	StrSkill3																																																																																																						0
assfrenzy	1	9	6	1	0	2	skillname147	skillsd147	skillld147	skillan147	StrSkill3	19	clc1											2				5	StrSkill3		usmc/128		52	StrSkill89	StrSkill23	15*(par4-par3)/100+par3	dm34	52	StrSkill106	StrSkill23	15*(par6-par5)/100+par5	dm56	2	StrSkill22	StrSkill23	toht		2	StrSkill4	StrSkill23	clc1							12	StrSkill20		par7		2	StrSkill39	StrSkill23	clc4												40	Sksyn	skillname147	2		63	skillname133	Damplev	par8		63	skillname137	Damplev	par8		63	skillname152	Magdplev	1																	0
shadowportaldesc	0	0	0	0	0	18	Portal01	Portalsd01	Portalld01	Portalan01	StrSkill3																																																																																																						0
ironmaiden	0	0	0	0	0	20	skillname76	skillsd76	skillld76	skillan76	StrSkill3																	1					19	StrSkill18		ln12		12	StrSkill20		ln34		63	DmgReturned	space	ln56												3	StrCast	StrSkill23	-33																																																				0
lifetap	0	0	0	0	0	32	skillname82	skillsd82	skillld82	skillan82	StrSkill3																	1					12	StrSkill20		ln34		19	StrSkill18		ln12																	3	StrSkill50	StrSkill79	10																																																				0
Ardent Defender	0	0	0	0	0	0	skillname449	skillsd449	skillld449	skillan449																																																																																																							0
poison mastery	0	0	0	0	0	0	skillname479	skillsd479	skillld479	skillan479	StrSkill3																	63	ModStr4g	space	pst1		3	LowerPois	percent	pst2																																																																													0
unholy blight	0	0	0	0	0	28	skillname480	skillsd480	skillld480	skillan480	StrSkill3	5																19	StrSkill18		rng							14					52	StrSkill8	strEskilllighttoattack	pst1*edma/256	pst2*edma/256											66	PulseDelayDesc		clc3		3	StrSkill7	percent	clc1		3	StrSkillPois	percent	ast1							40	Sksyn	skillname480	2		63	skillname110	Poisdplev	par8		64	skillname110	PulseDelay	-2	25	63	skillname110	Ltngdplev	-1		63	skillname106	Poisdplev	par8		71	skillname106	EskillLowersResistX								0
fire nova	0	0	0	0	0	26	skillname481	skillsd481	skillld481	skillan481	StrSkill3	5																1					10																																																																																0
magic mastery	0	0	0	0	0	0	skillname482	skillsd482	skillld482	skillan482	StrSkill3																	63	ModStr4g	space	pst1		3	LowerMag	percent	pst2																																																																													0
daybreakaura	0	0	0	0	0	0	daybreakaura	skillxsd123	skillld123	skillan123	StrSkill3																	19	StrSkill18		rng		3	StrSkill90	percent	ast2		2	StrSkill21	percent	ast1																																																																								0
chill touch	0	0	0	0	0	20	skillname399	skillsd399	skillld399	skillan399	StrSkill3																	1					12	StrSkill20		len		2	StrSkill22	percent	toht		10																																			40	Sksyn	skillname399	2		63	skillname50	Colddplev	par8		63	skillname50	AttRateplev	par4		67	skillname50	Secplev2	(par2 + 12)/25		63	skillname68	Colddplev	par8		63	skillname68	AttRateplev	par4		67	skillname68	Secplev2	(par2 + 12)/25		0
shockinggrasp	0	0	0	0	0	24	skillname387	skillsd387	skillld387	skillan387	StrSkill3																	1					12	StrSkill20		len		2	StrSkill22	percent	toht		10																																			40	Sksyn	skillname387	2		63	skillname58	Ltngdplev	par8		63	skillname58	AttRateplev	par4		67	skillname58	Secplev2	(par2 + 12)/25		63	skillname68	Ltngdplev	par8		63	skillname68	AttRateplev	par4		67	skillname68	Secplev2	(par2 + 12)/25		0
vampirictouch	0	0	0	0	0	22	skillname445	skillsd445	skillld445	skillan445	StrSkill3																	1					12	StrSkill20		len		2	StrSkill22	percent	toht		6	healHitSkillDesc		clc4																																40	Sksyn	skillname445	2		63	skillname58	AttRateplev	par4		67	skillname58	Secplev2	(par2 + 12)/25		63	skillname68	AttRateplev	par4		67	skillname68	Secplev2	(par2 + 12)/25												0
craftarrows	0	0	0	0	0	0	craftarrows1	craftarrows2	craftarrows2	craftarrows1																																																																																																							0
craftbolts	0	0	0	0	0	0	craftbolts1	craftbolts2	craftbolts2	craftbolts1																																																																																																							0
spawngold	0	0	0	0	0	0	skillname527	skillsd527	skillld527	skillan527																																																																																																							0
mancerportaldesc	0	0	0	0	0	18	Portal01	mancerportal	Portalld01	Portalan01	StrSkill3																																																																																																						0
Sin Aura	0	0	0	0	0	0	sinauradesc																																																																																																										0
ground slam	1	9	2	1	0	34	skillname568	skillsd568	skillld568	skillan568	StrSkill3	7	clc1											2				12	StrSkill48		clc2		52	StrSkill39	strEskilllighttoattack	(pets==0) ? 0 : (pets*80/100)	(pets==0) ? 0 : (pets*120/100)	1																				66	CastDelayDesc		len		72	WeapDamsk		2	1	18	1level																																												0
phase	3	5	2	3	0	26	skillname79	skillsd79	skillld79	skillan79	StrSkill3																	1					66	CastDelayDesc		clc1																						18	5levelmax																			40	Sksyn	skillname79	2		18	skillname79																													0
star jav	1	7	4	1	0	10	Skillname267	Skillsd267	Skillld267	Skillan267	StrSkill3	23												1				1					14																									72	WeapDamsk		1	1						7	missiles		clc1							40	Sksyn	Skillname267	2		63	Skillname279	Poisdplev	par8		71	Skillname267	Missplev3	clc1		18	energysyn																			0
dustdevil	0	0	0	0	0	2	dustdevil	dustdevil	dustdevil	dustdevil	StrSkill3																																																																																																						0
rabidanimal	0	0	0	0	0	2	rabidanimal	rabidanimal	rabidanimal	rabidanimal	StrSkill3																																																																																																						0
unholyblight	0	0	0	0	0	0	unholyblight	unholyblight	unholyblight	unholyblight	StrSkill3																																																																																																						0
lower resist CTC	0	0	0	0	0	50	skillname91	skillsd91	skillld91	skillan91	StrSkill3																	1					12	StrSkill20		len		19	StrSkill18		rng		3	StrSkill54	percent	clc4												3	StrSkill38	percent	clc3																																																				0
