index	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*type	*uber	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	*eol
Duriel's Shell	100	1		1	1	55	60	xrs	Cuirass			5	5000	oran	oran										hp		100	200	ac%		200	300	res-all		15	25					red-dmg%		10	15	sock		3	3	nofreeze		1	1	extra-cold		3	3	str		15	25	allskills		1	1					0
Skullder's Ire	100	1		1	1	57	62	xpl	Russet Armor			5	5000								allskills		2	2	mag%/lvl	8			gold%/lvl	16			red-dmg		15	25	red-mag		15	25	vit		15	25	enr		15	25	sock		3	3	balance2		50	50	res-all		25	35	ease		-33	-33	rep-dur	10			0
Guardian Angel	100	1		1	1	59	64	xlt	Templar Coat			5	5000	lgry	lgry						cast2		20	30	extra-mag		3	3	ac%		200	300	pal		3	3	sock		3	3	hp%		10	15					res-mag		25	25	gethit-hurt	618	10	35													0
Pillar of Thunder	100	1		1	1	61	66	xld	Sharktooth Armor			5	5000	whit	whit						allskills		2	2					enr		15	25	res-all		20	20	ac%		200	300	extra-ltng		3	3	hp%		10	10	sock		3	3	cast2		20	20	dmg-ltng		1	1000									0
Atma's Wail	100	1		1	1	63	68	xth	Embossed Plate			5	5000	dred							allskills		2	2	enr		15	25	res-all		15	25	mana%		30	40	sock		3	3	cast2		30	40	ease		-40	-40	gethit-hurt	610	10	35																	0
Black Hades	100	1		1	1	67	72	xul	Chaos Armor			5	5000	dred							sock		3	3	ac%		300	400	red-dmg		15	25	res-mag		20	25	noheal		1	1	res-all		30	30	reanimate	137	5	5	red-dmg%		15	15	gethit-hurt	616	10	35	hp%		15	15									0
Corpsemourn	100	1		1	1	70	75	xar	Ornate Armor			5	5000	blac	blac		invxaru				gethit-skill	Corpse Explosion	6	12	vit		20	30	hp%		20	20	ac%		500	500	dmg-fire		250	500	sock		3	3	allskills		1	1	dmg-cold	100	250	500	dmg-ltng		1	1000	res-all		30	35	red-dmg%		10	10					0
Que-Hegan's Wisdon	100	1		1	1	65	70	xtp	Mage Plate			5	5000								cast2		35	35	mana-kill		25	25	red-mag		25	25	mana%		25	25	balance2		25	25	allskills		2	2	res-all		25	35	sock		3	3	extra-all		3	3													0
Visceratuant	100	1		1	1	40	45	xuc	Defender			5	5000	dred			invbucu				sor		2	2	block2		25	25	block		25	25	ac%		200	300	res-all		25	25	cast2		15	15	sock		3	3	dex		40	40																	0
Mosers Blessed Circle	100	1		1	1	45	50	xml	Round Shield			5	5000				invxmlu				res-all		40	40	block		30	30	sock		3	3	ac%		200	300	block2		30	30	gold%		50	50	res-mag		30	30	move2		25	25																	0
Stormchaser	100	1		1	1	50	55	xrg	Scutum			5	5000	cblu	cblu		invxrgu				allskills		1	1	extra-ltng		3	3	res-ltng		30	30	res-all		20	20	att		200	300	block		30	30	gethit-skill	601	10	30	gethit-skill	614	10	30	sock		3	3	dmg-ltng		1	1000									0
Tiamat's Rebuke	100	1		1	1	55	60	xit	Dragon Shield			5	5000	lgry	lgry		invkitu				dmg-cold	200	100	250	dmg-fire		200	300	dmg-ltng		1	600	res-all		30	30	ac%		200	300	fireskill		1	3	coldskill		1	3	ltngskill		1	3	block		25	35					block2		25	35	sock		3	3	0
Kerke's Sanctuary	100	1		1	1	59	64	xow	Pavise			5	5000	lgrn	lgrn		invtowu				red-dmg		20	25	red-mag		20	25	red-dmg%		10	10	ac%		300	300	sock		3	3	block		35	35	res-all		30	40	block2		35	35	skill	119	3	4	skill	117	3	4	skill-rand	2	6	215					0
Radimant's Sphere	100	1		1	1	65	70	xts	Ancient Shield			5	5000				invgtsu				res-pois-len		50	50	ac%		200	300	res-all		30	40	extra-pois		3	3	reanimate	98	5	5	sock		3	3	poisskill		2	4									block		25	35	block2		25	35					0
Lidless Wall	100	1		1	1	61	66	xsh	Grim Shield			5	5000	dgld	dgld		invxshu				allskills		2	2	cast2		20	30	mana-kill		25	25	ac%		200	300	enr		15	25	mana%		15	25	sock		2	2	res-all		25	35	ease		-33	-33	extra-all		5	5									0
Lance Guard	100	1		1	1	51	56	xpk	Barbed Shield			5	5000				invxpku				hp		200	200	balance2		40	40	dmg-to-mana		25	25	res-all		25	35	ac%		200	300	deadly		10	10	block		30	30	block2		30	30	sock		3	3	dmg/lvl	2			red-dmg%		10	10					0
Venom Grip	100	1		1	1	40	45	xlg	Demonhide Gloves			5	5000	dgrn							res-pois		30	40	lifesteal		5	5	ac%		200	300	extra-pois		4	5	crush		2	2	skill	213	3	4	swing2		20	20																					0
Gravepalm	100	1		1	1	45	50	xvg	Sharkskin Gloves			5	5000								all-stats		10	10	dmg-undead		180	200	att-undead		180	200	ac%		200	300	swing2		30	30	res-cold		30	30	lifesteal		3	3																					0
Ghoulhide	100	1		1	1	50	55	xmg	Heavy Bracers			5	5000								att-und/lvl	12			dmg-und/lvl	24			swing2		20	20	hp		80	100	ac%		200	300	slow		5	5	lifesteal		3	3	skilltab	8	2	2	res-mag		10	15													0
Lavagout	100	1		1	1	55	60	xtg	Battle Guantlets			5	5000	lyel							res-fire		50	50	nofreeze		1	1	cast2		10	10	swing2		20	20	ac%		200	300	dmg-fire		120	180	fireskill		2	2	extra-fire		4	5	melee-skill	602	8	35	res-all		10	15									0
Hellmouth	100	1		1	1	60	65	xhg	War Gauntlets			5	5000								ac%		200	300	extra-mag		4	5	cast2		10	10	magskill		2	2	res-mag		15	20	enr		10	15																									0
Infernostride	100	1		1	1	40	45	xlb	Demonhide Boots			5	5000								dmg-fire		100	200	move2		20	20	res-fire		40	50	light		2	2	ac%		200	300	mag%		40	50	extra-fire		1	2	allskills		1	1																	0
Waterwalk	100	1		1	1	45	50	xvb	Sharkskin Boots			5	5000								ac-miss		200	240	move2		20	20	dex		15	15	ac%		200	300	hp		50	75	res-cold		40	40	freeze		3	3	allskills		1	1	extra-cold		1	2													0
Silkweave	100	1		1	1	50	55	xmb	Mesh Boots			5	5000								mana%		15	15	ac-miss		200	250	move2		25	25	allskills		2	2	enr		25	35	extra-mag		4	5	extra-phys		4	5																					0
Wartraveler	100	1		1	1	55	60	xtb	Battle Boots			5	5000								dex		10	20	str		10	20	mag%		25	35	dur		30	30	move2		40	40	ac%		200	300	dmg-norm		15	20	allskills		1	1																	0
Gorerider	100	1		1	1	60	65	xhb	War Boots			5	5000	dred							hit-skill	604	6	1	deadly		25	25	move2		25	35	crush		3	3	openwounds		25	25	ac%		200	300	red-dmg%		5	5	dmg%		50	50	dex		10	15	res-mag		10	10									0
String of Ears	100	1		1	1	40	45	zlb	Demonhide Sash			5	5000	lred							red-mag		10	15	red-dmg%		15	20	lifesteal		4	6	ac%		200	300	ac		15	25	res-mag		10	15	skilltab	19	1	2	skilltab	1	1	2	skilltab	11	1	2													0
Razortail	100	1		1	1	45	50	zvb	Sharkskin Belt			5	5000								dex		20	30	pierce		33	33	ac		15	25	ac%		200	300	dmg-max		15	15	att%		100	120	deadly		10	10	crush		1	1																	0
Gloomstrap	100	1		1	1	50	55	zmb	Mesh Belt			5	5000								magskill		2	2	extra-phys		4	5	extra-mag		4	5	red-mag		5	10	res-mag		15	20	cast2		15	15	vit		20	20	mana%		20	20	skill	180	2	2	res-all		10	15									0
Snowclash	100	1		1	1	55	60	ztb	Battle Belt			5	5000								nofreeze		1	1	res-cold		50	50	dmg-cold	75	250	350	ac%		200	300	coldskill		2	2	vit		15	15	extra-cold		4	5	gethit-skill	601	10	35	res-all		10	15													0
Thundergod's Vigor	100	1		1	1	60	65	zhb	War Belt			5	5000								dmg-ltng		1	800					ac%		200	300	ltngskill		3	3	gethit-skill	614	10	35	balance2		40	60	str		20	20	vit		20	20	res-all		10	15													0
ELITE WEAPONS																																																																					0
Razoredge	100	1		100	1	63	68	7ha	Tomahawk			5	5000	lblu			invhaxu				dmg%		400	500	swing2		40	40	reduce-ac		33	33	allskills		2	2	openwounds		50	50	dmg-norm		16	28	sock		2	2	deadly		25	25	crush		4	4													0
Moonstrike	100	1		1	1	68	73	7ax	Small Crescent			5	5000	whit			invaxeu				dmg%		400	500	swing2		30	30	dmg-mag		250	500	manasteal		25	25	melee-skill	618	8	45	dmg-demon		200	300	crush		4	4					sock		2	2													0
Cranebeak	100	1		1	1	84	84	7mp	War Spike			5	5000	dgry							ease		-50	-50	extra-all		8	8	skill	184	1	3	skill	160	2	3	skill	164	2	3	skill	179	2	3	skill	169	2	3	cast2		25	35	skilltab	17	2	2	sock		2	2	block		30	30					0
Runemaster	100	1		1	1	80	80	72a	Ettin Axe			5	5000	lblu	lblu						dmg%		300	300	sock		5	5	nofreeze		1	1	dru		3	3	swing2		100	100	att		300	400	dmg-norm		20	40	crush		4	4																	0
Deathcleaver	100	1		1	1	95	95	7wa	Berserker Axe	1		5	5000	dred							dmg%		470	500	sock		2	2	swing2		100	100	lifesteal		10	10	openwounds		66	66	allskills		2	2	crush		5	5	att		666	666	deadly		25	25	dmg-max		70	70	rep-dur	10							0
Fleshthirst	100	1		100	1	65	70	7la	Feral Axe			5	5000	lpur	lpur						dmg%		400	500	swing2		70	70	move2		30	30	skill	Feral Rage	3	4	skill	Maul	3	4	skill	Wearwolf	3	4	skill	Wearbear	3	4	sock		2	2	noheal		1	1	lifesteal		14	14	reanimate	90	5	5	crush		8	8	0
Ethereal Edge	100	1		1	1	70	75	7ba	Silver-Edged Axe			5	5000	whit	whit						dmg%		400	500	dmg-undead		200	300	dmg-demon		200	300	att		400	500	ethereal		1	1	indestruct		1	1	sock		2	2	crush		8	8																	0
Hellslayer	100	1		1	1	80	80	7bt	Decapitator			5	5000	dred	dred						dmg%		400	500	dmg%/lvl	8			extra-fire		12	12	all-stats		25	25	swing2		100	100	att%		100	100	sock		2	2	dmg-demon		500	500	res-all		25	35	skill	Fire Claws	3	5	crush		8	8					0
Winter's Claw	100	1		1	1	90	90	7ga	Champion Axe			5	5000	lblu	lblu						dmg%		400	500	dmg%/lvl	8			extra-cold		12	12	all-stats		25	25	swing2		100	100	att%		100	100	sock		2	2	dmg-undead		500	500	res-all		25	35	skill	Hunger	3	5	crush		8	8					0
Executioner's Justice	100	1		1	1	95	95	7gi	Glorious Axe	1		5	5000	blac	blac		invaxe005				dmg%		470	500	crush		10	10	red-dmg%		25	25	melee-skill	604	6	1	swing2		100	100	deadly		25	25	sock		2	2	res-all		50	50	allskills		4	4	reanimate	506	5	5	rep-dur	10			dmg-max		100	100	0
MirrorEye	100	1		100	1	68	70	7wn	Polished Wand			5	5000	cblu			invwndu				nec		4	4	cast2		25	25	ac%		300	300	res-all		35	35	extra-all		8	8	sock		2	2	dex		40	40																					0
NetherworldReach	100	1		1	1	76	80	7yw	Ghost Wand			5	5000	blac	blac						nec		4	4	ethereal		1	1					sock		2	2	cast2		25	25	res-all		25	35	summlife		20	30	skill	FireGolem	1	3	skill	Spirit Blade	1	3	skill	Revive	1	3	skill	Skeleton Mastery	1	3					0
Deaths's Web	100	1		1	1	90	90	7bw	Lich Wand			5	5000	bwht	bwht						nec		6	6					heal-kill		20	50	skill	Poison Bolt	3	4	sock		2	2	extra-pois		8	8	reanimate	126	6	6					skill-rand	2	66	95													0
Boneshade	100	1		1	1	95	95	7gw	Unearthed Wand	1		5	5000	dgry			invbwnu2				nec		4	4	cast2		25	25	skill	Teeth	4	6	skill	Bone Spear	3	4	skill	Bone Spirit	3	4	skill	Bone Orb	3	4	reanimate	216	6	6	extra-mag		8	8	sock		2	2	res-mag		25	35	skill-rand	2	66	95	move2		20	20	0
Nord's Tenderizer	100	1		100	1	69	69	7cl	Truncheon			5	5000								dmg%		400	500	freeze		9	9	swing2		70	70	dmg-norm		15	25	att%		160	180					melee-skill	601	8	35	allskills		2	2	sock		2	2	rep-dur	10			reanimate	127	5	5					0
Demonlimb	100	1		1	1	68	68	7sp	Tyrant Club			5	5000	dgrn	dgrn						dmg%		400	500	dmg/lvl	3			lifesteal		4	4	regen		100	100	rep-dur	5			dmg-demon		100	100	dmg-undead		100	100	res-all		10	10					slow		5	5	sock		2	2	crush		4	4	0
Heaven's Light	100	1		100	1	85	85	7sc	Mighty Scepter			5	5000	cblu	cblu						ease		-50	-50	mana-kill		15	15	balance2		25	25	vit		25	25	demon-heal		30	60	cast2		25	25	extra-mag		12	12	pal		3	3					skill	112	2	3	skill	Fist of the Heavens	2	4	skill	Holy Bolt	2	3	0
Redeemer	100	1		1	1	85	85	7qs	Seraph Rod			5	5000	bwht	bwht						skill	99	2	4	cast2		25	25	pal		4	4	balance2		50	50	allskills		1	1	skill	Holy Bolt	3	5	skill-rand	2	96	125	res-all		10	15	vit		25	35	enr		25	35	sock		2	2	ease		-50	-50	0
Ironward	100	1		1	1	95	95	7ws	Caduceus	1		5	5000	blac	blac						dmg%		400	500	sock		2	2	swing2		40	40					red-dmg%		15	15	dmg-max		66	66	crush		5	5	vit		25	35	pal		5	5	att/lvl	16			skill-rand	2	96	125	extra-all		8	8	0
Stone Crusher	100	1		1	1	68	73	7ma	Reinforced Mace			5	5000	whit							dmg%		400	500	str		15	25	skill	145	2	3	reduce-ac		25	25	lifesteal		5	5	dmg-norm		12	24	dex		15	25	sock		2	2	skill	143	2	3	crush		4	4									0
Horizon's Tornado	100	1		1	1	85	85	7fl	Scourge			5	5000	dpur	dpur						dru		1	2	enr		30	35	cast2		30	30	sock		2	2	skill	Wind Vortex	1	2	skill	Twister	1	2	skill	Tornado	1	2	skill	Hurricane	1	2	skilltab	17	1	3	ease		-25	-25	extra-all		8	8					0
Stormlash	100	1		1	1	90	90	7fl	Scourge			3	5000	dgry	dgry						dmg%		400	500	swing2		80	80	dmg/lvl	4			crush		4	4	sock		2	2	pal		4	4	dmg-ltng		1	1000									deadly		25	25									0
Baranar's Star	100	1		1	1	78	78	7mt	Devil Star			5	5000	lred	lred										dmg%		450	450	skilltab	10	3	4	swing2		50	50	dmg-ltng		1	1000	dmg-fire		250	500	dmg-cold	200	250	500	skilltab	9	4	5	lifesteal		6	6	sock		2	2	crush		4	4					0
Schaefer's Hammer	100	1		1	1	95	95	7wh	Legendary Mallet	1		5	5000	lblu	lblu						crush		6	6	res-all		30	30	att		500	500	swing2		60	60	dmg-norm		10	90	dmg%		470	500	sock		2	2	str		40	50	deadly		25	25	lifesteal		10	10									0
The Cranium Basher	100	1		100	1	90	90	7m7	Ogre Maul			5	5000	blac	blac						swing2		80	80	allskills		3	3	res-all		30	40	sock		2	2	dmg-norm		30	40	dmg%		400	500					skilltab	13	3	4	reanimate	26	5	5	crush		10	10									0
Windhammer	100	1		1	1	95	95	7gm	Thunder Maul	1		5	5000	cblu	cblu						dmg%		470	500	crush		10	10	allskills		5	5	res-all		40	50	slow		5	5	dmg-norm		40	60	str		40	50	sock		2	2	red-dmg%		20	25	swing2		80	80	deadly		25	25					0
Assassinator	100	1		100	1	64	69	7ss	Falcata			5	5000	blac	blac						swing2		80	80	deadly		25	25	openwounds		50	50	dmg%		400	500	dmg-norm		16	33	sock		2	2	move2		30	30	allskills		2	2	crush		4	4													0
Bloodmoon	100	1		1	1	67	72	7sb	Elegant blade			5	5000	cred	cred		invsbru				dmg%		350	375	lifesteal		10	10	dru		3	3	heal-kill		66	66	crush		4	4					ethereal		1	1	indestruct		1	1	vit		15	15	sock		2	2	swing2		60	60					0
Dragonmouth	100	1		1	1	72	77	7fc	Hydra Edge			5	5000	lyel			invflcu				dmg%		400	500	swing2		70	70	skill	102	4	7	skill	Armageddon	3	5	allskills		2	2	sock		2	2	extra-fire		8	8	dmg-fire		222	333	heal-kill		20	20	crush		4	4									0
Elementalweaver	100	1		1	1	80	80	7bs	Conquest Sword			5	5000	oran			invbsdu				dmg-fire		250	500	dmg-cold	250	250	500	dmg-ltng		1	1000	crush		4	4					dex		15	25	skill	Vengeance	3	6	sock		4	4	dmg%		350	400	swing2		80	80									0
Azurewrath	100	1		50	1	95	95	7cr	Phase Blade	1		5	5000	blac	blac		invcrs				extra-mag		8	8	dmg%		470	500	sock		2	2	swing2		100	100	dmg-undead		100	100	dmg-mag		400	500	allskills		3	3	crush		5	5	dmg-norm		20	50	lifesteal		10	10	dmg-demon		100	100					0
Frostwind	100	1		1	1	86	86	7ls	Cryptic Sword			5	5000	cblu	cblu		invlsdu				dmg%		400	500	freeze		9	9	allskills		2	2	swing2		70	70	ease		-15	-15	skill	114	4	7	crush		4	4	sock		2	2	att		300	300	slow		5	5	extra-cold		8	8					0
Lightsabre	100	1		1	1	83	83	7wd	Mythical Sword			5	5000	lblu							lifesteal		5	5	allskills		3	3	swing2		70	70	sock		2	2	dmg-ltng		1	1000	dmg%		400	500	skill	118	3	6	extra-ltng		8	8	dmg-norm		22	33	crush		4	4									0
Djinnslayer	100	1		100	1	66	66	72h	Legend Sword			5	5000	dpur	dpur		inv2hsu				dmg%		400	500	dmg-mag		150	300	dmg-demon		100	100	att-demon		300	300	res-mag		15	15	lifesteal		9	12	sock		2	2	crush		5	5	swing2		60	60													0
Glitteringsun	100	1		1	1	65	70	7cm	Highland Blade			5	5000	lyel	lyel						dmg%		400	500	gold%		25	50	mag%		50	50	allskills		1	1	sock		2	2	swing2		60	60	light		7	7	dmg-norm		20	30	deadly		33	33	crush		5	5									0
Doombringer	100	1		1	1	85	85	7b7	Champion Sword			5	5000	dred	dred		invbswu				hp		140	180	dmg%		400	500	att%		100	100	dmg-norm		25	40	crush		5	5	lifesteal		8	8	swing2		60	60	manasteal		8	8	sock		2	2	bar		2	2	deadly		25	25					0
Flamebellow	100	1		1	1	80	80	7gs	Balrog Blade			5	5000	cred	cred		invgisu				dmg%		400	500	dmg-fire		250	500	extra-fire		8	8	dmg-norm		20	35	melee-skill	600	8	50	swing2		60	60	vit		30	30	lifesteal		4	4	reanimate	360	10	10	sock		2	2	crush		5	5	extra-fire		8	8	0
Titanblade	100	1		1	1	90	90	7fb	Colossal Sword			5	5000	blac	blac						dmg%		400	500	deadly		25	25	att%		100	100	dmg-norm		20	30	str		15	25	dex		15	25	vit		40	50	swing2		66	66	res-all		25	35	sock		2	2	skilltab	13	3	5	crush		5	5	0
The Grandfather	100	1		50	1	95	95	7gd	Colossus Blade	1		5	5000	lyel	lyel		invgsdu				deadly		25	25	all-stats		25	25	lifesteal		10	10	att%		100	100	sock		2	2	dmg-max		100	100	dmg%		470	500	allskills		3	3	swing2		60	60	hp		300	350	crush		6	6					0
Wizardspike	100	1		100	1	72	77	7dg	Bone Knife			5	5000	lgry	lgry						mana%		50	50	res-all		50	50	cast2		50	50	allskills		4	4	indestruct		1	1	regen-mana		25	25																									0
Souldrinker	100	1		1	1	73	78	7di	Mithral Point			5	5000	blac	blac						poisskill		4	4	extra-pois		8	8					noheal		1	1	sock		2	2	skill	Poison Nova	1	3	move2		30	30	heal-kill		30	40																	0
Fleshripper	100	1		1	1	85	88	7kr	Fanged Knife			5	5000	dred	dred		invkrsu				dmg%		400	500	sock		2	2	noheal		1	1	swing2		80	80	openwounds		50	50	deadly		25	25	dmg-norm		25	40	allskills		3	3	lifesteal		10	10	crush		4	4	extra-all		8	8					0
Ghostflame	100	1		1	1	95	95	7bl	Legend Spike	1		5	5000	cblu	cblu						enr		20	30	ethereal		1	1	indestruct		1	1	sock		3	3	move2		40	40	allskills		5	5	reanimate	134	5	5	cast2		50	50	extra-all		4	4	vit		20	30	hp%		5	5	mana%		10	10	0
Arioc's Needle	100	1		100	1	65	70	7sr	Hyperion Spear			5	5000								dmg%		400	500	deadly		25	25	att%		100	150	allskills		3	3	swing2		80	80	dex		20	30	skill	Fend	3	4	skill	Jab	3	4	sock		2	2	dmg-norm		20	40	crush		8	8					0
Dragoonwrath	100	1		1	1	70	75	7tr	Stygian Pike			5	5000	cblu			invtriu				dmg%		400	500	lifesteal		8	8	swing2		40	40	att		200	350	sock		2	2	deadly		25	25	dmg/lvl	6			crush		8	8																	0
Viperfork	100	1		1	1	76	80	7br	Mancatcher			5	5000	dgrn	dgrn						dmg%		400	500	swing2		50	50	extra-pois		20	20	skill	173	7	7	att		200	300	lifesteal		6	6	res-all		50	50	sock		2	2	dmg-norm		33	44	skill	14	7	7	crush		8	8					0
Spiritseeker	100	1		1	1	85	88	7st	Ghost Spear			5	5000	whit	whit						dmg%		400	500	swing2		40	40	ethereal		1	1	indestruct		1	1	allskills		2	2	sock		2	2	lifesteal		6	12	dex		30	30	rip		1	1	crush		8	8									0
Steelpillar	100	1		1	1	95	95	7p7	War Pike	1		5	5000								dmg%		470	500	swing2		80	80	red-dmg%		20	25	ac%		100	120	crush		10	10	res-all		40	50					str		40	50	hp		300	400	sock		2	2	allskills		5	5	dmg-norm		20	80	0
Bonehew	100	1		100	1	65	70	7o7	Ogre Axe			5	5000	bwht							dmg%		400	500	swing2		100	100	kill-skill	Corpse Explosion	30	30	noheal		1	1	sock		2	2	deadly		25	25	res-all		30	40	crush		8	8																	0
Dryadgrace	100	1		1	1	69	74	7vo	Colossus Voulge			5	5000	dgrn	dgrn						dmg%		400	500	swing2		60	60	extra-all		20	20					sock		2	2	crush		8	8	dru		2	2	skilltab	17	2	4	manasteal		20	20													0
The Reaper's Toll	100	1		1	1	76	78	7s8	Thresher			5	5000								dmg%		400	500	melee-skill	607	6	1	sock		2	2	lifesteal		8	12	swing2		50	50	deadly		25	25	heal-kill		50	50	allskills		3	3	reanimate	310	5	5	crush		8	8									0
Stormspire	100	1		1	1	83	85	7pa	Cryptic Axe			5	5000	dblu	dblu						res-all		35	35	dmg%		450	500	extra-cold		12	12	res-cold		30	30	lifesteal		8	8	sock		2	2	bar		3	3	melee-skill	611	8	55	dmg-norm		25	40	melee-skill	602	8	55	crush		8	8					0
Earthshifter	100	1		1	1	88	90	7h7	Great Poleaxe			5	5000								dmg%		450	500	melee-skill	602	8	55	crush		10	10	dmg-max		70	70	sock		2	2	swing2		100	100	allskills		3	3					rep-dur	10			lifesteal		8	8	res-all		40	45					0
Tomb Reaver	100	1		1	1	95	95	7wc	Giant Thresher	1		5	5000	lyel	lyel						swing2		120	120	deadly		25	25	dmg%		470	500	dmg-undead		200	200	noheal		1	1	res-all		50	50	att		666	666	reanimate	436	5	5	heal-kill		100	100	sock		2	2	allskills		5	5	crush		10	10	0
Crimsonhellcast	100	1		100	1	65	70	6ss	Walking Stick			5	5000	dred	dred						swing2		100	100	res-all		40	50					extra-fire		16	16	dru		3	3					dmg%		400	500	skill	184	3	5	skill	174	4	6	aura	Holy Fire	20	20	sock		3	3	hit-skill	616	8	50	0
Thundersky	100	1		1	1	70	75	6ls	Stalagmite			5	5000								cast2		40	40	res-all		40	50					allskills		4	4	mana%		40	50					extra-ltng		12	12	res-ltng		40	50	sock		4	4	ltngskill		1	3	melee-skill	615	8	50					0
Absolutezero	100	1		1	1	75	80	6cs	Elder Staff			5	5000								swing2		100	100	res-all		40	50					extra-cold		16	16	dru		3	3					skill	185	3	5	aura	Holy Freeze	20	20	skill	177	4	6	dmg%		400	500	sock		3	3	melee-skill	601	8	50	0
Ondal's Wisdom	100	1		1	1	82	85	6bs	Shillelah			5	5000								cast2		40	50	sock		2	2	sor		7	7	red-dmg		33	33	red-mag		33	33	regen-mana		100	100	mana		200	200	hp%		12	16	extra-elem		20	20	mana%		50	50	res-all		50	70					0
Mang Song's Lesson	100	1		1	1	95	95	6ws	Archon Staff	1		5	5000	dgld	dgld						red-dmg%		20	30	skill-rand	1	6	215	skill-rand	1	6	215	skill-rand	1	6	215	extra-elem		12	12	cast2		80	80	allskills		7	7	sock		4	4	aura	Conviction	10	10	res-all		80	100	hp		380	400					0
Sszakstring	100	1		100	1	61	66	6sb	Spider Bow			5	5000	whit	whit						dmg%		400	500	slow		5	5	swing2		40	40	dmg-norm		12	24	hit-skill	Venom	8	4	reanimate	124	5	5					manasteal		12	18	sock		2	2	red-dmg%		10	10									0
Razorstring	100	1		1	1	63	68	6hb	Blade Bow			5	5000								dmg%		400	500	openwounds		50	50	dmg-norm		8	16	deadly		25	25	sock		2	2	swing2		40	40	skill	Pierce	4	7	skill	Penetrate	4	7	allskills		2	2	ethereal		1	1									0
Voidsend	100	1		1	1	67	72	6lb	Shadow Bow			5	5000	dpur	dpur						dmg%		400	500	dmg-mag		200	400	swing2		60	60	res-all		20	30	att%		100	100	allskills		1	1	ama		1	1	gethit-skill	618	10	40	skill	6	4	6	sock		2	2									0
Elvenbow	100	1		1	1	69	74	6cb	Great Bow			5	5000	cgrn	cgrn		invcbwu				dmg%		400	500	swing2		70	70	crush		2	2	skilltab	1	3	3	hit-skill	604	6	1	att		300	300					move2		60	60	skill	Valkyrie	4	6	summlife		30	30	sock		2	2					0
Finaljustice	100	1		1	1	73	78	6s7	Diamond Bow			5	5000	whit			invsbbu				dmg%		400	500	lifesteal		4	4	manasteal		9	12	dmg-fire		250	500	dmg-cold	250	250	500	extra-all		8	8					swing2		60	60	skilltab	0	3	4	sock		2	2									0
Eaglehorn	100	1		1	1	82	82	6l7	Crusader Bow			5	5000	dgld	dgld						ignore-ac		1	1	dmg%		400	500	ama		4	4	dex		25	35	skill	Strafe	3	6	skill	Guided Arrow	3	6	swing2		70	70	sock		2	2	dmg-norm		20	40	crush		2	2									0
Widowmaker	100	1		1	1	84	86	6sw	Ward Bow			5	5000	dred	dred		invswbu				dmg%		400	500	deadly		25	25					dmg/lvl	4			res-all		15	25	allskills		1	1	swing2		80	80	crush		2	2	sock		2	2	skill	Inner Sight	4	6	dmg-norm		20	50					0
Windforce	100	1		1	1	95	95	6lw	Hydra Bow	1		5	5000	dyel	dyel						dex		40	50	sock		2	2	res-all		25	35	ethereal		1	1	knock		1	1	dmg%		400	500	swing2		100	100	lifesteal		5	5	allskills		4	4	crush		3	3	dmg-norm		30	70					0
Skylauncher	100	1		100	1	65	70	6lx	Pellet Bow			5	5000	cblu			invlxbu				dmg%		400	500	dmg-ltng		1	400					swing2		70	70	manasteal		9	12	pierce		20	25	hit-skill	615	8	40	hit-skill	614	8	40	skill	Valkyrie	3	5	sock		2	2									0
Stonehowl	100	1		1	1	71	76	6mx	Gorgon Crossbow			5	5000	dgrn			invmxbu				dmg%		400	500	pierce		20	25	slow		5	5	swing2		50	50	deadly		33	33	gethit-skill	607	10	1	red-dmg%		20	20	knock		1	1	sock		2	2													0
Hellrack	100	1		1	1	95	95	6hx	Colossus Crossbow	1		5	5000	cred			invhxbu				dmg%		400	500	dmg-fire		250	500	swing2		100	100	sock		2	2	pierce		50	50	allskills		6	6	extra-all		8	8	skill	Immolation Arrow	3	5	skill	Exploding Arrow	3	5	skill	Fire Arrow	3	5									0
Gutsiphon	100	1		1	1	95	95	6rx	Demon Crossbow	1		5	5000	lgrn	lgrn		invrxbu				dmg%		400	500	pierce		20	25	lifesteal		20	20	deadly		33	33	swing2		100	100	res-all		50	50	allskills		4	4	heal-kill		25	50	dmg-norm		33	120	ethereal		1	1	sock		2	2					0
Pestilence	100	1		100	1	65	70	7ja	Hyperion Javelin			5	5000	dgrn	dgrn						dmg%		400	500					sock		2	2	rep-quant	100			skill	Poison Javelin	3	4	skill	Plague Javelin	3	4	skilltab	2	1	2	swing2		20	20	pierce		40	50	extra-pois		8	8									0
Baphometspine	100	1		1	1	70	75	7pi	Stygian Pilum			5	5000	blac	blac						dmg%		400	500	pierce		40	50						extra-ltng	8	8	rep-quant	100			skill	Lightning Bolt	3	4	skill	Charged Strike	3	4	skill	Lightning Fury	3	4	skilltab	2	1	1	dmg-ltng		1	1000	swing2		40	40	sock		2	2	0
