Id	prop1	chance1	par1	min1	max1	prop2	chance2	par2	min2	max2	prop3	chance3	par3	min3	max3	prop4	chance4	par4	min4	max4	prop5	chance5	par5	min5	max5	prop6	chance6	par6	min6	max6	prop1 (N)	chance1 (N)	par1 (N)	min1 (N)	max1 (N)	prop2 (N)	chance2 (N)	par2 (N)	min2 (N)	max2 (N)	prop3 (N)	chance3 (N)	par3 (N)	min3 (N)	max3 (N)	prop4 (N)	chance4 (N)	par4 (N)	min4 (N)	max4 (N)	prop5 (N)	chance5 (N)	par5 (N)	min5 (N)	max5 (N)	prop6 (N)	chance6 (N)	par6 (N)	min6 (N)	max6 (N)	prop1 (H)	chance1 (H)	par1 (H)	min1 (H)	max1 (H)	prop2 (H)	chance2 (H)	par2 (H)	min2 (H)	max2 (H)	prop3 (H)	chance3 (H)	par3 (H)	min3 (H)	max3 (H)	prop4 (H)	chance4 (H)	par4 (H)	min4 (H)	max4 (H)	prop5 (H)	chance5 (H)	par5 (H)	min5 (H)	max5 (H)	prop6 (H)	chance6 (H)	par6 (H)	min6 (H)	max6 (H)	*eol
Foreman																															pierce-pois			50	50	gethit-hurt		494	8	10																					pierce-pois			5	5	gethit-hurt		494	8	10	extra-pois			50	50																0
legionguardnecro	pierce-all			5	5						gethit-hurt		625	8	1	gethit-hurt		361	6	20											pierce-all			10	10						gethit-hurt		625	8	1	cast2			100	100	gethit-hurt		361	6	20						pierce-all			15	15	cast2			100	100	gethit-hurt		625	8	1	gethit-hurt		361	6	20											0
act2hire	abs-pois%			10	10	res-pois-len			25	25	abs-elem%			15	15	abs-mag%			15	15											abs-pois%			10	10	res-pois-len			25	25	abs-elem%			15	15	abs-mag%			15	15											abs-pois%			10	10	res-pois-len			25	25	abs-elem%			15	15	abs-mag%			15	15											0
roguehire	abs-pois%			10	10	res-pois-len			25	25	abs-elem%			15	15	abs-mag%			15	15											abs-pois%			10	10	res-pois-len			25	25	abs-elem%			15	15	abs-mag%			15	15											abs-pois%			10	10	res-pois-len			25	25	abs-elem%			15	15	abs-mag%			15	15											0
act3hire	abs-pois%			10	10	res-pois-len			25	25	abs-elem%			15	15	abs-mag%			15	15											abs-pois%			10	10	res-pois-len			25	25	abs-elem%			15	15	abs-mag%			15	15											abs-pois%			10	10	res-pois-len			25	25	abs-elem%			15	15	abs-mag%			15	15											0
act5hire	abs-pois%			10	10	res-pois-len			25	25	abs-elem%			15	15	abs-mag%			15	15											abs-pois%			10	10	res-pois-len			25	25	abs-elem%			15	15	abs-mag%			15	15											abs-pois%			10	10	res-pois-len			25	25	abs-elem%			15	15	abs-mag%			15	15											0
Derpuniques	abs-elem%			20	20	abs-pois%			20	20	abs-mag%			20	20	move2			50	50	swing2			50	50	pierce-all			20	20	abs-elem%			20	20	abs-pois%			20	20	abs-mag%			20	20	move2			50	50	swing2			50	50	pierce-all			30	30	abs-elem%			25	25	abs-pois%			25	25	abs-mag%			25	25	move2			50	50	swing2			50	50	pierce-all			40	40	0
AdvoFlash	gethit-hurt		592	25	25	death-skill		583	100	1																					gethit-hurt		592	25	30	death-skill		583	100	1																					gethit-hurt		592	25	40	death-skill		583	100	1																					0
AdvoFlash2	gethit-hurt		592	25	25	extra-ltng			50	50																					gethit-hurt		592	25	30	extra-ltng			50	50																					gethit-hurt		592	25	40	extra-ltng			50	50																					0
Bartuc																																																													gethit-hurt		420	13	40	gethit-hurt		259	10	40	gethit-hurt		431	10	40	gethit-hurt		530	9	40	gethit-hurt		361	6	40	gethit-hurt		230	5	40	0
Alp	gethit-hurt		247	6	40	gethit-hurt		362	8	40	gethit-hurt		466	6	40	gethit-hurt		489	5	12	gethit-hurt		530	3	40						gethit-hurt		414	8	40	gethit-hurt		362	8	40	gethit-hurt		466	8	40	gethit-hurt		489	5	16	gethit-hurt		247	6	40	gethit-hurt		530	4	40	gethit-hurt		414	9	40	gethit-hurt		362	9	40	gethit-hurt		466	10	40	gethit-hurt		489	8	25	gethit-hurt		530	8	40	gethit-hurt		435	4	40	0
Anzu	gethit-hurt		623	6	40	gethit-hurt		301	8	20	gethit-hurt		440	15	40	gethit-hurt		265	10	15											gethit-hurt		623	6	40	gethit-hurt		301	10	20	gethit-hurt		310	8	20	gethit-hurt		440	16	40	gethit-hurt		460	5	40	gethit-hurt		265	10	15	gethit-hurt		623	6	40	gethit-hurt		301	9	20	gethit-hurt		310	10	20	gethit-hurt		460	6	40	gethit-hurt		364	7	40	gethit-hurt		435	4	40	0
coldcrow	gethit-hurt		467	4	20	gethit-hurt		265	4	20																					gethit-hurt		467	4	20	gethit-hurt		265	4	20																					gethit-hurt		467	5	20	gethit-hurt		265	5	20																					0
ColdAttacks2																																																													aura	3	392	1	1	gethit-hurt		627	5	1	gethit-hurt		265	8	20	gethit-hurt		54	2	1											0
GBboss	move2			50	50	gethit-hurt		530	6	20	gethit-hurt		265	6	20	gethit-hurt		433	6	20	gethit-hurt		54	5	1	gethit-hurt		491	6	20	move2			50	50	gethit-hurt		530	6	20	gethit-hurt		265	6	20	gethit-hurt		433	6	20	gethit-hurt		54	5	1	gethit-hurt		491	6	20	move2			50	50	gethit-hurt		530	6	20	gethit-hurt		265	6	20	gethit-hurt		433	6	20	gethit-hurt		54	5	1	gethit-hurt		491	6	20	0
lindwyrm	gethit-hurt		460	8	20																										gethit-hurt		460	10	20	gethit-hurt		457	10	20																					gethit-hurt		460	10	20	gethit-hurt		457	10	20	gethit-hurt		349	10	20																0
hod	gethit-hurt		245	4	20	gethit-hurt		246	4	20	gethit-hurt		272	4	20																gethit-hurt		245	5	20	gethit-hurt		246	5	20	gethit-hurt		460	6	20																gethit-hurt		245	6	20	gethit-hurt		246	6	20	gethit-hurt		460	7	20	gethit-hurt		540	10	20											0
chekka	gethit-hurt		359	5	20	gethit-hurt		542	5	20	gethit-hurt		432	5	20	extra-mag			-66	-66											gethit-hurt		359	5	20	gethit-hurt		542	5	20	gethit-hurt		432	5	20	gethit-hurt		453	5	20											gethit-hurt		359	5	20	gethit-hurt		542	5	20	gethit-hurt		432	5	20	gethit-hurt		453	5	20	gethit-hurt		535	5	20						0
yelsne	gethit-hurt		252	5	20	gethit-hurt		251	5	20	gethit-hurt		287	5	20																gethit-hurt		252	5	20	gethit-hurt		272	5	20	gethit-hurt		287	5	20	gethit-hurt		269	1	20											gethit-hurt		252	5	20	gethit-hurt		272	5	20	gethit-hurt		287	5	20	gethit-hurt		54	1	20	gethit-hurt		269	1	20						0
ubercow	gethit-hurt		430	10	3																										gethit-hurt		430	10	3	aura	10	515	1	1	hit-skill		54	4	1																gethit-hurt		430	10	3	aura	15	515	1	1	hit-skill		54	4	1																0
FireBossPOS	death-skill		584	100	1	gethit-hurt		231	7	20	gethit-hurt		529	7	20	gethit-hurt		530	7	20	aura		391	1	1						death-skill			100	1	gethit-hurt		231	8	20	gethit-hurt		529	8	20	gethit-hurt		530	8	20	aura		391	1	1						death-skill		584	100	1	gethit-hurt		231	9	40	gethit-hurt		529	9	40	gethit-hurt		530	9	40	aura		391	1	1	pierce-ep			100	100	0
SkeletonBossPOS	death-skill		644	100	1	gethit-hurt		411	7	20	gethit-hurt		420	7	20	gethit-hurt		360	7	20	gethit-hurt		422	7	10						death-skill			100	1	gethit-hurt		411	8	20	gethit-hurt		420	8	20	gethit-hurt		360	8	20	gethit-hurt		422	8	15						death-skill		584	100	1	gethit-hurt		411	9	40	gethit-hurt		420	9	40	gethit-hurt		360	9	40	gethit-hurt		422	9	40	pierce-ep			100	100	0
DinoBossPOS	death-skill		643	100	1	gethit-hurt		533	7	20	gethit-hurt		408	7	20	gethit-hurt		455	7	20											death-skill			100	1	gethit-hurt		533	8	20	gethit-hurt		408	8	20	gethit-hurt		455	8	20											death-skill		584	100	1	gethit-hurt		533	9	40	gethit-hurt		408	9	40	gethit-hurt		455	9	40	pierce-ep			100	100						0
ConstructBossPOS	death-skill		645	100	1	gethit-hurt		435	7	20	gethit-hurt		467	7	20	gethit-hurt		463	7	20											death-skill			100	1	gethit-hurt		435	8	20	gethit-hurt		467	8	20	gethit-hurt		463	8	20											death-skill		584	100	1	gethit-hurt		435	9	40	gethit-hurt		467	9	40	gethit-hurt		463	9	40	pierce-ep			100	100						0
Abholos	gethit-hurt		420	12	40	gethit-hurt		231	10	40	gethit-hurt		54	3	1	gethit-hurt		265	10	40	gethit-hurt		431	5	40						gethit-hurt		420	12	40	gethit-hurt		231	10	40	gethit-hurt		54	4	1	gethit-hurt		265	10	40	gethit-hurt		431	6	40	pierce-ep			50	50	gethit-hurt		420	12	40	gethit-hurt		231	12	40	gethit-hurt		54	5	1	gethit-hurt		265	10	40	gethit-hurt		431	7	40	pierce-ep			100	100	0
Awakened	gethit-hurt		423	15	1	gethit-hurt		54	5	1	extra-all			50	50	death-skill		435	3	1											gethit-hurt		423	15	1	gethit-hurt		54	5	1	extra-all			50	50	death-skill		435	4	1											gethit-hurt		423	15	1	gethit-hurt		54	5	1	extra-all			50	50	death-skill		435	5	1											0
AbholosMinion	gethit-hurt		54	15	1	death-skill		353	100	20																					gethit-hurt		54	15	1	death-skill		353	100	20																					gethit-hurt		54	15	1	death-skill		353	100	20																					0
Harbinger1	death-skill		468	100	20	death-skill		494	100	5																					death-skill		468	100	20	death-skill		494	100	10																					death-skill		468	100	20	death-skill		494	100	15																					0
Harbinger2	death-skill		468	100	20	death-skill		494	100	5																					death-skill		468	100	20	death-skill		494	100	10																					death-skill		468	100	20	death-skill		494	100	15																					0
frogsummon	res-pois-len			50	50	melee-skill		647	25	1	kill-skill		647	15	1																res-pois-len			50	50	melee-skill		647	25	1	kill-skill		647	15	1																res-pois-len			50	50	melee-skill		647	25	1	kill-skill		647	15	1																0
MephMorlu	death-skill		231	33	1	res-pois-len			50	50	extra-fire			200	200	att-skill		231	33	1											death-skill		231	50	1	res-pois-len			50	50	extra-fire			200	200	att-skill		231	33	1											death-skill		231	50	1	death-skill		494	100	40	res-pois-len			50	50	extra-fire			200	200	att-skill		231	33	1						0
DiabloDemon	death-skill		363	33	20	death-skill		494	10	20	gethit-hurt		275	100	5	extra-pois			25	25	hit-skill		652	100	1	hit-skill		469	20	20	death-skill		363	66	20	death-skill		494	30	20	gethit-hurt		275	100	5	extra-pois			25	25	hit-skill		652	100	1	hit-skill		469	20	20	death-skill		363	100	20	death-skill		494	100	20	gethit-hurt		275	100	5	extra-pois			25	25	hit-skill		652	100	1	hit-skill		469	20	20	0
andyspider	slow			10	10	swing2			100	100	death-skill		230	10	20	res-pois-len			50	50	att-skill		230	33	20						slow			15	15	swing2			100	100	death-skill		230	10	20	res-pois-len			50	50	att-skill		230	33	20						slow			25	25	swing2			100	100	death-skill		230	10	20	res-pois-len			50	50	att-skill		230	33	20						0
DurySwarm	gethit-hurt		210	20	1	att-skill		458	33	20	res-pois-len			50	50																gethit-hurt		210	20	1	att-skill		458	33	20	death-skill		653	100	10	res-pois-len			50	50											gethit-hurt		210	20	1	att-skill		458	33	20	death-skill		663	100	10	res-pois-len			50	50											0
baalsplode	ignore-ac			1	1	move2			50	50	death-skill		653	100	1	death-skill		466	10	20	res-pois-len			50	50						ignore-ac			1	1	move2			50	50	death-skill		653	100	1	death-skill		466	15	20	res-pois-len			50	50						ignore-ac			1	1	move2			50	50	death-skill		663	100	1	death-skill		466	20	20	res-pois-len			50	50						0
baalwitch	ignore-ac			1	1	hit-skill		661	20	1	cast2			50	50	death-skill		661	50	1	death-skill		476	33	40	res-pois-len			50	50	ignore-ac			1	1	hitskill		661	20	1	cast2			50	50	death-skill		661	75	1	death-skill		476	66	40	res-pois-len			50	50	ignore-ac			1	1	hit-skill		661	20	1	cast2			50	50	death-skill		661	100	1	death-skill		476	100	40	res-pois-len			50	50	0
druidbear	res-pois-len			50	50	melee-skill		599	50	1																					res-pois-len			50	50	melee-skill		599	50	1																					res-pois-len			50	50	melee-skill		599	50	1	res-pois-len			50	50																0
ThreashSocket	gethit-hurt		464	5	20	gethit-hurt		265	5	20	gethit-hurt		301	5	20	gethit-hurt		459	4	20	extra-all			-33	-33	gethit-hurt		210	5	1	gethit-hurt		464	5	20	gethit-hurt		265	5	20	gethit-hurt		301	5	20	gethit-hurt		459	4	20	extra-all			-33	-33	gethit-hurt		210	5	1	gethit-hurt		464	5	20	gethit-hurt		265	5	20	gethit-hurt		301	5	20	gethit-hurt		459	4	20	extra-all			-33	-33	gethit-hurt		210	5	1	0
AnodizedElite	gethit-hurt		210	5	1	gethit-hurt		365	10	20	gethit-hurt		458	8	20	att-skill		414	50	20	extra-all			-33	-33	swing2			100	100	gethit-hurt		210	5	1	gethit-hurt		365	10	20	gethit-hurt		458	8	20	att-skill		414	50	20	extra-all			-33	-33	swing2			100	100	gethit-hurt		210	5	1	gethit-hurt		365	10	20	gethit-hurt		458	8	20	att-skill		414	50	20	extra-all			-33	-33	swing2			100	100	0
BlazeRipper	move2			100	100	gethit-hurt		430	5	5	gethit-hurt		433	5	20	gethit-hurt		468	5	20	gethit-hurt		466	5	20	extra-all			-33	-33	move2			100	100	gethit-hurt		430	5	5	gethit-hurt		433	5	20	gethit-hurt		468	5	20	gethit-hurt		466	5	20	extra-all			-33	-33	move2			100	100	gethit-hurt		430	5	5	gethit-hurt		433	5	20	gethit-hurt		468	5	20	gethit-hurt		466	5	20	extra-all			-33	-33	0
SharpToothSayer	move2			100	100	gethit-hurt		210	5	1	gethit-hurt		526	5	20	gethit-hurt		430	5	10	gethit-hurt		532	5	20	extra-all			-33	-33	move2			100	100	gethit-hurt		210	5	1	gethit-hurt		526	5	20	gethit-hurt		430	5	10	gethit-hurt		532	5	20	extra-all			-33	-33	move2			100	100	gethit-hurt		210	5	1	gethit-hurt		526	5	20	gethit-hurt		430	5	10	gethit-hurt		532	5	20	extra-all			-33	-33	0
VinvearMolech	gethit-hurt		458	8	20	gethit-hurt		464	8	20	gethit-hurt		472	8	20	gethit-hurt		438	8	20	gethit-hurt		210	5	1	extra-all			-33	-33	gethit-hurt		458	8	20	gethit-hurt		464	8	20	gethit-hurt		472	8	20	gethit-hurt		438	8	20	gethit-hurt		210	5	1	extra-all			-33	-33	gethit-hurt		458	8	20	gethit-hurt		464	8	20	gethit-hurt		472	8	20	gethit-hurt		438	8	20	gethit-hurt		210	5	1	extra-all			-33	-33	0
DacFarren	gethit-hurt		414	8	20	gethit-hurt		54	5	1	gethit-hurt		332	8	20	cast2			100	100	move2			100	100	extra-all			-33	-33	gethit-hurt		414	8	20	gethit-hurt		54	5	1	gethit-hurt		332	8	20	cast2			100	100	move2			100	100	extra-all			-33	-33	gethit-hurt		414	8	20	gethit-hurt		54	5	1	gethit-hurt		332	8	20	cast2			100	100	move2			100	100	extra-all			-33	-33	0
EyebackUnleashed	gethit-hurt		308	5	20	gethit-hurt		210	5	1	gethit-hurt		652	10	1	gethit-hurt		660	5	20	gethit-hurt		457	5	20	extra-all			-33	-33	gethit-hurt		308	5	20	gethit-hurt		210	5	1	gethit-hurt		652	10	1	gethit-hurt		660	5	20	gethit-hurt		457	5	20	extra-all			-33	-33	gethit-hurt		308	5	20	gethit-hurt		210	5	1	gethit-hurt		652	10	1	gethit-hurt		660	5	20	gethit-hurt		457	5	20	extra-all			-33	-33	0
SnapchipShatter	gethit-hurt		210	10	1	gethit-hurt		476	8	20	gethit-hurt		526	8	20	gethit-hurt		542	8	20	gethit-hurt		468	8	20	extra-all			-33	-33	gethit-hurt		210	10	1	gethit-hurt		476	8	20	gethit-hurt		526	8	20	gethit-hurt		542	8	20	gethit-hurt		468	8	20	extra-all			-33	-33	gethit-hurt		210	10	1	gethit-hurt		476	8	20	gethit-hurt		526	8	20	gethit-hurt		542	8	20	gethit-hurt		468	8	20	extra-all			-33	-33	0
MagmaTorquer	gethit-hurt		358	5	20	gethit-hurt		472	5	20	gethit-hurt		440	5	20	gethit-hurt		210	5	1	move2			100	100	extra-all			-33	-33	gethit-hurt		358	5	20	gethit-hurt		472	5	20	gethit-hurt		440	5	20	gethit-hurt		210	5	1	move2			100	100	extra-all			-33	-33	gethit-hurt		358	5	20	gethit-hurt		472	5	20	gethit-hurt		440	5	20	gethit-hurt		210	5	1	move2			100	100	extra-all			-33	-33	0
